"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Halocyptena microsoma","Halocyptena_microsoma","Hydrobatidae","Procellariiformes",12.2,7.6,1.8,3.5,21.7,119,72,48,60,56.4,20.5,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-3.12,38.16,14.67,-97.32,2556397.26,"Extant"
"2","Caprimulgus binotatus","Caprimulgus_binotatus","Caprimulgidae","Caprimulgiformes",13.6,6.3,4.3,2.6,10.6,148.8,69,79.8,46.4,99.2,63,"Forest",1,"2","Carnivore","Invertivore","Aerial",-4.79,8.26,2.71,8.79,701719.54,"Extant"
"3","Glareola pratincola","Glareola_pratincola","Glareolidae","Charadriiformes",20.1,9.9,4.9,6,30.9,181.6,110.6,71.7,60.7,106,84.9,"Grassland",3,"3","Carnivore","Invertivore","Aerial",-30.13,50.75,30.72,47.97,5351786.34,"Extant"
"4","Threnetes ruckeri","Threnetes_ruckeri","Trochilidae","Apodiformes",33.4,27.3,3,2.5,5.3,56.6,34.5,21.2,62,36.3,5.2,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-3.64,16.61,8.09,-78.78,482644.97,"Extant"
"5","Chlorostilbon assimilis","Chlorostilbon_assimilis","Trochilidae","Apodiformes",16.4,12.2,1.7,1.5,2.5,44.8,29.7,15.1,66.3,28.8,2.6,"Forest",2,"1","Herbivore","Nectarivore","Aerial",7.21,9.45,8.44,-80.76,49348.26,"Extant"
"6","Colibri serrirostris","Colibri_serrirostris","Trochilidae","Apodiformes",24.1,17.9,2.2,2.2,4.3,67.9,41.6,25.9,61.6,42.5,6.7,"Shrubland",3,"1","Herbivore","Nectarivore","Aerial",-26.9,-7.62,-18.19,-49.74,2370635.54,"Extant"
"7","Colibri coruscans","Colibri_coruscans","Trochilidae","Apodiformes",29.1,22.4,2.9,2.5,5.6,75.4,47.5,28.5,62.5,51.4,6.7,"Human Modified",2,"1","Herbivore","Nectarivore","Aerial",-27.31,11.11,-8.85,-72,920400.1,"Extant"
"8","Anthracothorax veraguensis","Anthracothorax_veraguensis","Trochilidae","Apodiformes",27.7,21.9,2.2,2.1,5.3,65.7,42.8,23.3,64.8,34.8,7,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",7.21,9.41,8.26,-81.75,30443.51,"Extant"
"9","Hirundo ariel","Hirundo_ariel","Hirundinidae","Passeriformes",8.7,4.2,3.8,2.4,10.3,92.4,47.2,45.8,50.7,47.1,10.8,"Wetland",3,"2","Carnivore","Invertivore","Aerial",-39.24,-5.49,-25.34,135.91,5369308.61,"Extant"
"10","Heliangelus strophianus","Heliangelus_strophianus","Trochilidae","Apodiformes",17.1,12.8,1.9,1.5,6.2,66.2,42.8,23.5,64.4,48.2,5.5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-3.61,1.14,-0.72,-78.76,9555.21,"Extant"
"11","Sterna paradisaea","Sterna_paradisaea","Laridae","Charadriiformes",37.8,22.8,3.8,7,16.1,262.7,181.1,80.9,69.1,179.6,110,"Coastal",3,"3","Carnivore","Aquatic predator","Aerial",41.24,83.11,67.21,-35.32,10398468.44,"Extant"
"12","Heliodoxa gularis","Heliodoxa_gularis","Trochilidae","Apodiformes",28,22.4,2.8,2.5,4.9,63.8,42,21.6,66,37.8,6.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-1.05,1.63,0.05,-77.1,22626.05,"Extant"
"13","Hirundo megaensis","Hirundo_megaensis","Hirundinidae","Passeriformes",10.1,5,3.6,2,9.4,101.8,54.4,47.4,53.5,54,11,"Shrubland",3,"1","Carnivore","Invertivore","Aerial",3.66,5.08,4.33,38.49,14837.09,"Extant"
"14","Aquila chrysaetos","Aquila_chrysaetos","Accipitridae","Accipitriformes",56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Grassland",3,"2","Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,"Extant"
"15","Artamus minor","Artamus_minor","Artamidae","Passeriformes",14.5,8.2,5.7,4.9,14.4,102.7,46.4,56.3,45.1,56.1,16,"Woodland",2,"1","Carnivore","Invertivore","Aerial",-35.04,-10.69,-24.04,134.42,6485166.89,"Extant"
"16","Chordeiles rupestris","Chordeiles_rupestris","Caprimulgidae","Caprimulgiformes",12.7,5,3.9,3.1,12.8,164.5,90.3,74.2,54.8,88.2,52.3,"Riverine",2,"2","Carnivore","Invertivore","Aerial",-17.02,5.51,-3.2,-68.83,1639560.09,"Extant"
"17","Amazilia viridigaster","Amazilia_viridigaster","Trochilidae","Apodiformes",20.2,15.8,2.3,2,4.6,50.5,32.1,18.5,63.5,29.1,3.7,"Forest",2,"1","Herbivore","Nectarivore","Aerial",0.85,8.4,4.96,-64.84,278827.69,"Extant"
"18","Podager nacunda","Podager_nacunda","Caprimulgidae","Caprimulgiformes",19.7,8.9,5.4,4,23.8,238.2,113.4,123.6,47.9,123.6,159,"Grassland",2,"1","Carnivore","Invertivore","Aerial",-35.22,12.46,-9.61,-56.52,12270759.1,"Extant"
"19","Hirundo nigrorufa","Hirundo_nigrorufa","Hirundinidae","Passeriformes",9.3,4.8,3.3,2.3,10.2,106.8,55.3,51.5,51.8,59.5,14.2,"Grassland",3,"2","Carnivore","Invertivore","Aerial",-15.83,-8.04,-10.97,22.53,581101.75,"Extant"
"20","Circus cyaneus","Circus_cyaneus","Accipitridae","Accipitriformes",30.6,16.6,9.9,13.1,76.5,355,159.6,198,44.7,172.3,393,"Grassland",3,"3","Carnivore","Vertivore","Aerial",30.02,73.38,56.03,7.66,29678658.41,"Extant"
"21","Aglaeactis pamela","Aglaeactis_pamela","Trochilidae","Apodiformes",22,17.8,2.6,2.4,7.7,67.8,38.8,28.7,57.4,41.4,5.5,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-17.71,-16.04,-16.88,-66.89,16558.41,"Extant"
"22","Campylopterus excellens","Campylopterus_excellens","Trochilidae","Apodiformes",30.1,23.3,3.7,3.5,6.8,68,38.1,29.9,56,65,6,"Forest",1,"1","Herbivore","Nectarivore","Aerial",16.75,18.61,17.56,-94.69,30187.19,"Extant"
"23","Lafresnaya lafresnayi","Lafresnaya_lafresnayi","Trochilidae","Apodiformes",29.6,24.9,2.5,1.8,5.7,63.6,38.7,23.3,62.4,40.2,5.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-14.83,11.15,-3.12,-75.93,312941.28,"Extant"
"24","Lepidopyga lilliae","Lepidopyga_lilliae","Trochilidae","Apodiformes",21.2,18.3,1.4,1.5,4.7,47.1,30.2,16.9,64.1,28.8,4.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",7.86,11.57,10.23,-75.02,2413.9,"Extant"
"25","Cypseloides niger","Cypseloides_niger","Apodidae","Apodiformes",9,3.7,3.4,2.4,12.5,149.4,105.2,39.3,73,59.4,39.7,"Forest",1,"2","Carnivore","Invertivore","Aerial",8.88,57.94,32.36,-105.27,1303249.37,"Extant"
"26","Hirundo abyssinica","Hirundo_abyssinica","Hirundinidae","Passeriformes",11,4.3,3.5,2.6,12.5,108.1,52.7,55.4,48.8,92.4,13.5,"Grassland",3,"1","Carnivore","Invertivore","Aerial",-34.32,16.48,-3.14,21.52,13676430.32,"Extant"
"27","Phedina brazzae","Phedina_brazzae","Hirundinidae","Passeriformes",9.2,4.2,3.4,2.5,11.1,99.8,47.1,52.7,47.2,50.6,13,"Forest",3,"1","Carnivore","Invertivore","Aerial",-11.95,-1.66,-5.72,20.3,403109.29,"Extant"
"28","Colibri thalassinus","Colibri_thalassinus","Trochilidae","Apodiformes",23.7,17.3,2.2,2,5.6,62.6,38,23.6,61.5,42,5.9,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-17.81,22.79,6.27,-83.03,788433.25,"Extant"
