"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"29","Circus pygargus","Circus_pygargus","Accipitridae","Accipitriformes",26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,"Grassland",3,"3","Carnivore","Vertivore","Aerial",30.56,60.25,49.91,45.8,6837154.32,"Extant"
"30","Haplophaedia lugens","Haplophaedia_lugens","Trochilidae","Apodiformes",19.2,15.6,2.1,1.9,7.6,64.5,39.2,25.2,60.9,41.2,6.9,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-0.21,1.37,0.59,-78.2,4915.22,"Extant"
"31","Cypseloides fumigatus","Cypseloides_fumigatus","Apodidae","Apodiformes",8.6,3.9,3.2,2.4,13.5,145.2,101.2,44,69.7,44,42,"Forest",1,"3","Carnivore","Invertivore","Aerial",-33.03,-9.56,-19.46,-47.32,2325060.02,"Extant"
"32","Papasula abbotti","Papasula_abbotti","Sulidae","Suliformes",118.8,91.3,26.9,37.7,46.1,442.4,287,157.5,64.6,204.8,1550.7,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-13.26,-7.67,-10.73,107.11,677593.38,"Extant"
"33","Circus aeruginosus","Circus_aeruginosus","Accipitridae","Accipitriformes",37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,"Wetland",3,"2","Carnivore","Vertivore","Aerial",29.17,66.56,50.03,51.14,13390803.81,"Extant"
"34","Cynanthus latirostris","Cynanthus_latirostris","Trochilidae","Apodiformes",20.1,17.2,2.6,2,5.3,50.6,33.1,17.5,65.4,31.6,3.1,"Woodland",3,"1","Herbivore","Nectarivore","Aerial",15.65,32.6,23.59,-104.27,784126.02,"Extant"
"35","Collocalia bartschi","Collocalia_bartschi","Apodidae","Apodiformes",5.3,2.4,2,2.1,8.3,88.7,53.6,35.1,60.5,41.3,7.4,"Forest",1,"1","Carnivore","Invertivore","Aerial",13.24,15.29,13.78,144.97,692.22,"Extant"
"36","Phaethornis griseogularis","Phaethornis_griseogularis","Trochilidae","Apodiformes",25.3,20.9,1.7,1.9,3.6,36.2,24.4,11.9,67.3,36.8,2.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-6.37,10.41,1.84,-70.53,385191.87,"Extant"
"37","Collocalia pelewensis","Collocalia_pelewensis","Apodidae","Apodiformes",5.6,2.6,2.1,1.9,9,107.7,73.8,33.9,68.5,49.4,13.4,"Forest",1,"1","Carnivore","Invertivore","Aerial",6.89,7.73,7.44,134.54,454.45,"Extant"
"38","Sterna striata","Sterna_striata","Laridae","Charadriiformes",51.3,33.1,4.1,7.7,20.9,273.8,188.5,84.5,69,170,129,"Coastal",3,"2","Carnivore","Aquatic predator","Aerial",-47.29,-34.39,-40.54,169.31,83485.48,"Extant"
"39","Campylopterus duidae","Campylopterus_duidae","Trochilidae","Apodiformes",28,21.5,2.4,2.6,6.2,64.4,39.4,25,61.1,46.4,6.1,"Forest",1,"1","Herbivore","Nectarivore","Aerial",0.68,6.16,3.91,-65.31,102776.86,"Extant"
"40","Chaetocercus heliodor","Chaetocercus_heliodor","Trochilidae","Apodiformes",16.1,12.6,1.3,1.1,3.8,30.3,18.8,11.6,61.7,18,2,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-2.33,9.33,4.93,-74.34,113213.81,"Extant"
"41","Sterna trudeaui","Sterna_trudeaui","Laridae","Charadriiformes",47.8,29.8,5,8.4,24,256.2,180.8,77,70.1,132.6,153,"Wetland",3,"2","Carnivore","Aquatic predator","Aerial",-43.6,-22.55,-34.16,-60.3,539946.35,"Extant"
"42","Caprimulgus sericocaudatus","Caprimulgus_sericocaudatus","Caprimulgidae","Caprimulgiformes",23,8.5,6,3.3,17.6,160.7,79.7,81,49.6,122.7,83,"Forest",1,"1","Carnivore","Invertivore","Aerial",-27.83,-2.35,-18.7,-56.34,1167113.56,"Extant"
"43","Coeligena helianthea","Coeligena_helianthea","Trochilidae","Apodiformes",36.1,29.4,2.4,2.2,7,71.5,45.4,26.1,63.5,46.5,6.6,"Forest",1,"1","Herbivore","Nectarivore","Aerial",4.31,10.77,6.61,-73.01,42112.58,"Extant"
"44","Collocalia palawanensis","Collocalia_palawanensis","Apodidae","Apodiformes",7,2.5,2.5,1.9,9.6,128,85.6,42.4,66.8,52.5,10.7,"Forest",1,"1","Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"45","Telacanthura melanopygia","Telacanthura_melanopygia","Apodidae","Apodiformes",10.4,3.8,2.9,2.6,16.1,162,112,51,68.8,49,52,"Forest",1,"1","Carnivore","Invertivore","Aerial",-0.79,7.99,3.95,6.46,586085.53,"Extant"
"46","Notiochelidon murina","Notiochelidon_murina","Hirundinidae","Passeriformes",9.8,4.3,3.4,2.2,11.5,112.7,57,56.3,50.3,61.6,11.7,"Grassland",3,"2","Carnivore","Invertivore","Aerial",-17.86,11.08,-6.5,-74.73,425662.43,"Extant"
"47","Apus bradfieldi","Apus_bradfieldi","Apodidae","Apodiformes",11.8,4.1,3.9,2.6,12.9,176,124.5,51.8,70.7,73.6,42.4,"Desert",1,"2","Carnivore","Invertivore","Aerial",-30.31,-14.22,-23.87,17.65,882341.76,"Extant"
"48","Topaza pella","Topaza_pella","Trochilidae","Apodiformes",30.3,21.3,2.8,3.1,5.8,75.1,47.5,27.6,63.3,74.1,12.1,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-11.19,8.32,0.85,-56.48,1678442.91,"Extant"
"49","Circus macrourus","Circus_macrourus","Accipitridae","Accipitriformes",29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,"Grassland",3,"3","Carnivore","Vertivore","Aerial",41.23,58.45,51.02,62.85,6168290.72,"Extant"
"50","Thalurania ridgwayi","Thalurania_ridgwayi","Trochilidae","Apodiformes",20.8,17.4,2.8,2.3,4.8,55.8,36.5,19.2,65.5,35.8,3.8,"Forest",1,"1","Herbivore","Nectarivore","Aerial",18.93,21.68,20.07,-104.6,14528.86,"Extant"
"51","Heliodoxa xanthogonys","Heliodoxa_xanthogonys","Trochilidae","Apodiformes",24.2,17.9,2.2,2.5,5.6,63,41.1,21.9,65.3,37.5,7,"Forest",1,"1","Herbivore","Nectarivore","Aerial",0.43,6.19,4.21,-63.89,222443.1,"Extant"
"52","Chalybura urochrysia","Chalybura_urochrysia","Trochilidae","Apodiformes",26.2,21.1,2.6,2.8,6,65.2,43.2,21.3,67,40.2,6.4,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-4.28,15.94,8.1,-79.91,208991.28,"Extant"
"53","Discosura letitiae","Discosura_letitiae","Trochilidae","Apodiformes",14.3,9.7,0.7,1.1,4.1,37.6,24.5,13.1,65.2,36,2.8,"Forest",1,"1","Herbivore","Nectarivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"54","Pterophanes cyanopterus","Pterophanes_cyanopterus","Trochilidae","Apodiformes",37.9,29.1,2.1,2.6,6.9,104.9,66.5,37.8,63.8,69.3,9.3,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-17.85,7.44,-5.4,-74.94,232571.39,"Extant"
"55","Collocalia linchi","Collocalia_linchi","Apodidae","Apodiformes",5.4,1.8,1.8,1.9,9.3,93.7,63,30.7,67.2,36,5.9,"Forest",1,"1","Carnivore","Invertivore","Aerial",-9.01,6.2,-3.03,105.13,316140.08,"Extant"
"56","Caprimulgus manillensis","Caprimulgus_manillensis","Caprimulgidae","Caprimulgiformes",18.8,7.6,5.9,3,16.2,170.2,82,88.2,48.1,120,70.3,"Forest",1,"1","Carnivore","Invertivore","Aerial",5.56,18.65,11.85,123.09,269038.47,"Extant"
"57","Aquila verreauxii","Aquila_verreauxii","Accipitridae","Accipitriformes",58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,"Rock",3,"1","Carnivore","Vertivore","Aerial",-34.84,30.44,-9.59,29.12,4020161.71,"Extant"
"58","Sterna maxima","Sterna_maxima","Laridae","Charadriiformes",73.7,45.5,8.4,14.9,32.8,363.7,224.1,141,61.4,155.1,415.3,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-45.33,41.98,13.04,-60.22,3285888.83,"Extant"
"59","Chrysuronia oenone","Chrysuronia_oenone","Trochilidae","Apodiformes",24.7,19.8,2.6,2.2,5.2,51.2,32.3,18.7,63.4,30.6,5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-17.43,11.3,-4.42,-73.08,1336265.93,"Extant"
"60","Streptoprocne rutila","Streptoprocne_rutila","Apodidae","Apodiformes",7.1,3,3.7,2,12,130,93.2,38.1,71,44.5,20.2,"Forest",1,"2","Carnivore","Invertivore","Aerial",-17.92,25.81,7.17,-85.11,1392664.2,"Extant"
"61","Amazilia chionogaster","Amazilia_chionogaster","Trochilidae","Apodiformes",25.6,19.9,2.5,2.2,6.2,57.7,35.9,21.4,62.8,32.1,5,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-30.21,-5.21,-16.28,-69.48,488801.52,"Extant"
"62","Progne chalybea","Progne_chalybea","Hirundinidae","Passeriformes",15.3,7.8,5.6,4.5,13.5,130.6,69.2,57.3,54.8,66.4,50,"Shrubland",2,"1","Carnivore","Invertivore","Aerial",-38.84,25.35,-9.09,-60.79,15629572.14,"Extant"
"63","Sterna caspia","Sterna_caspia","Laridae","Charadriiformes",78.7,49.1,10.4,19.2,42.6,410.7,268.2,143.1,65.1,148.7,655,"Wetland",3,"3","Carnivore","Aquatic predator","Aerial",-46.99,65.99,7.58,76.67,6293644.91,"Extant"
"64","Hydrochous gigas","Hydrochous_gigas","Apodidae","Apodiformes",7.4,3.9,3.1,3.3,13.5,146,101.3,44.7,69.4,58.2,35.8,"Riverine",1,"1","Carnivore","Invertivore","Aerial",-7.39,6.34,1.43,101.07,97277.3,"Extant"
"65","Atthis ellioti","Atthis_ellioti","Trochilidae","Apodiformes",14.8,11,1.1,1.2,4.1,34,22.6,11.4,66.4,19,2.9,"Forest",2,"1","Herbivore","Nectarivore","Aerial",13.72,17.41,15.2,-90.13,94985.18,"Extant"
"66","Macrodipteryx longipennis","Macrodipteryx_longipennis","Caprimulgidae","Caprimulgiformes",16.3,5.6,4.1,2.8,20.1,173.2,83.7,88.8,48.3,102.2,48,"Grassland",3,"2","Carnivore","Invertivore","Aerial",1.23,15.4,8.37,6.14,3883244.3,"Extant"
"67","Chaetura martinica","Chaetura_martinica","Apodidae","Apodiformes",5.3,2.1,1.8,1.6,9.2,108.2,75,33.2,69.3,35.2,12.5,"Forest",1,"1","Carnivore","Invertivore","Aerial",13.12,16.52,15.11,-61.27,4342.26,"Extant"
"68","Cypseloides cherriei","Cypseloides_cherriei","Apodidae","Apodiformes",7.1,3.5,3.3,2.6,12.7,124.8,84.1,40.7,67.4,44.7,22.1,"Forest",1,"1","Carnivore","Invertivore","Aerial",-0.93,10.15,3.35,-75.73,111074.69,"Extant"
"69","Aquila gurneyi","Aquila_gurneyi","Accipitridae","Accipitriformes",55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,"Forest",1,"1","Carnivore","Vertivore","Aerial",-10.73,2.65,-5.05,140.46,601810.35,"Extant"
"70","Procelsterna albivitta","Procelsterna_albivitta","Laridae","Charadriiformes",30,17.3,3.1,5,25.2,201.8,121.9,79.8,60.4,106.5,72.2,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-38,-16.9,-28.82,-60.73,14237945.1,"Extant"
"71","Hirundo fluvicola","Hirundo_fluvicola","Hirundinidae","Passeriformes",8.5,4,3,2.2,10.5,92.5,47.1,45.4,50.9,45.5,9.7,"Shrubland",3,"2","Carnivore","Invertivore","Aerial",14.63,35.07,24.62,77.59,2395920.38,"Extant"
"72","Hirundo rufigula","Hirundo_rufigula","Hirundinidae","Passeriformes",8.1,4,3,2.6,10.7,96.4,44.8,51.6,46.5,54.6,15.9,"Grassland",3,"2","Carnivore","Invertivore","Aerial",-14.78,-2.31,-9.52,20.48,1298041.09,"Extant"
"73","Aglaeactis castelnaudii","Aglaeactis_castelnaudii","Trochilidae","Apodiformes",22.9,18.2,2.7,2.2,8.2,74.2,44,30,59.4,46.4,6.7,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-14.28,-9.37,-12.27,-73.65,23294.94,"Extant"
"74","Oceanodroma markhami","Oceanodroma_markhami","Hydrobatidae","Procellariiformes",20.1,11.1,3.1,4.7,23.2,170.8,104.2,65.8,61.3,91.4,53.1,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-26.13,13.2,-7.28,-90.07,12040992.53,"Extant"
"75","Anopetia gounellei","Anopetia_gounellei","Trochilidae","Apodiformes",25.4,23.5,2.5,2.8,3.6,49.3,30.4,18.2,62.6,44,3.2,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-14.53,-4.04,-9.64,-41.43,534925.91,"Extant"
"76","Rynchops albicollis","Rynchops_albicollis","Laridae","Charadriiformes",84.9,66.6,6.3,21.9,26,371.8,257.8,114,69.3,108.5,164,"Riverine",3,"2","Carnivore","Aquatic predator","Aerial",11.02,35.17,26.11,80.03,1179458.68,"Extant"
"77","Eurostopodus temminckii","Eurostopodus_temminckii","Caprimulgidae","Caprimulgiformes",21.1,8.2,5.1,3.7,10.7,205.2,106.8,99.2,51.8,124,95.9,"Forest",2,"1","Carnivore","Invertivore","Aerial",-5.95,7.36,0.79,108.53,1296744.78,"Extant"
"78","Collocalia salangana","Collocalia_salangana","Apodidae","Apodiformes",6.7,2.2,2.3,2.1,10.1,113.5,75.7,37.8,66.7,50.5,11.3,"Rock",1,"1","Carnivore","Invertivore","Aerial",-8.78,7.04,0.08,112.15,483061.54,"Extant"
"79","Collocalia elaphra","Collocalia_elaphra","Apodidae","Apodiformes",6.4,2.1,2.1,1.7,8.8,113,78.8,34.2,69.7,47.8,10.7,"Forest",1,"1","Carnivore","Invertivore","Aerial",-4.8,-4.28,-4.58,55.54,205.22,"Extant"
"80","Sterna balaenarum","Sterna_balaenarum","Laridae","Charadriiformes",32.7,22.1,3.1,5.5,13.7,169.4,117.5,51.2,69.6,67,60,"Coastal",3,"2","Carnivore","Aquatic predator","Aerial",-35.24,-16.2,-27.73,17.13,404545.26,"Extant"
"81","Amazilia amazilia","Amazilia_amazilia","Trochilidae","Apodiformes",20.7,15.9,2.9,2,6.5,61.8,35.2,25.3,58.1,37.6,4.3,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-15.53,1.08,-6.41,-79.11,169380.82,"Extant"
"82","Sterna hirundinacea","Sterna_hirundinacea","Laridae","Charadriiformes",49.9,29.8,4.4,8.7,21.5,296.6,202.8,93.2,68.4,171.6,188,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-56.59,-15.19,-41.04,-64.88,1375360.34,"Extant"
"83","Rhaphidura sabini","Rhaphidura_sabini","Apodidae","Apodiformes",6.2,2.6,2.1,2.2,11.4,123.4,82.8,41,66.8,38,16,"Forest",1,"1","Carnivore","Invertivore","Aerial",-6.45,9.58,2.57,12.17,1774423.81,"Extant"
"84","Hirundo daurica","Hirundo_daurica","Hirundinidae","Passeriformes",11.3,5.4,4.1,3,14.2,122,64.6,57.5,52.9,95.1,22.2,"Grassland",3,"3","Carnivore","Invertivore","Aerial",-14.74,55.04,32.67,86.32,19153028.31,"Extant"
"85","Amazilia rosenbergi","Amazilia_rosenbergi","Trochilidae","Apodiformes",23.9,19.2,2.2,2,6.2,52.8,33.6,18.6,64.5,30,3.7,"Forest",1,"1","Herbivore","Nectarivore","Aerial",0.13,6.81,3.74,-77.49,67269.18,"Extant"
"86","Doryfera ludovicae","Doryfera_ludovicae","Trochilidae","Apodiformes",37.6,30.6,2.8,2.3,5.8,57.4,35.2,22.1,61.5,34.7,6,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-17.25,10.47,-2.45,-74.65,387149.16,"Extant"
"87","Progne murphyi","Progne_murphyi","Hirundinidae","Passeriformes",15.1,7.3,4.9,3.5,13.1,132,73.5,58.5,55.7,67,41.4,"Grassland",3,"1","Carnivore","Invertivore","Aerial",-18.71,-3.5,-11.06,-76.74,134136.1,"Extant"
"88","Discosura popelairii","Discosura_popelairii","Trochilidae","Apodiformes",15.7,11.7,1.3,1.6,4.1,33.2,21.3,11.7,64.8,20,2.5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-14.2,4.58,-5.47,-76.26,164969.5,"Extant"
"89","Metallura baroni","Metallura_baroni","Trochilidae","Apodiformes",16.8,12.1,1.7,1.4,6,57.1,34.4,22.7,60.3,37.7,4.3,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-3.21,-2.51,-2.88,-79.24,2725.47,"Extant"
"90","Rhodopis vesper","Rhodopis_vesper","Trochilidae","Apodiformes",34.8,27.5,1.9,1.7,5,55.5,35.6,19.3,64.8,44.2,3.8,"Shrubland",2,"2","Herbivore","Nectarivore","Aerial",-30.45,-4.81,-18.1,-73.02,305602.24,"Extant"
"91","Amazilia decora","Amazilia_decora","Trochilidae","Apodiformes",24.8,18.9,2.1,2.6,5.1,52.3,32.6,20.4,61.6,30.8,4.7,"Forest",2,"1","Herbivore","Nectarivore","Aerial",8.03,9.79,8.9,-83.32,13144.24,"Extant"
"92","Zoonavena grandidieri","Zoonavena_grandidieri","Apodidae","Apodiformes",4.7,2.4,1.5,1.7,9.9,124.5,85.5,39,68.7,42.2,8,"Forest",1,"1","Carnivore","Invertivore","Aerial",-25.61,-11.36,-19.37,46.69,592268.37,"Extant"
"93","Hirundo obsoleta","Hirundo_obsoleta","Hirundinidae","Passeriformes",11.9,5.3,4.2,2.7,10.9,117.7,65.8,51.8,56,52.3,10.2,"Rock",3,"2","Carnivore","Invertivore","Aerial",6.4,35.61,23.44,27.58,7338605.45,"Extant"
"94","Larus cirrocephalus","Larus_cirrocephalus","Laridae","Charadriiformes",47.5,18.2,5.1,10.2,49.5,319,176.2,140.5,55.6,124.6,374.7,"Wetland",3,"1","Carnivore","Aquatic predator","Aerial",-39.24,23.17,-17.4,11.28,6411818.5,"Extant"
"95","Campylopterus falcatus","Campylopterus_falcatus","Trochilidae","Apodiformes",27,20.8,2.3,2,6,65.2,39.9,25.3,61.2,40.5,7.2,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-0.89,11.31,7.15,-72.04,88173.02,"Extant"
"96","Sula dactylatra","Sula_dactylatra","Sulidae","Suliformes",96,96,26.2,34.2,54,412.2,257.2,155,62.4,171.2,1732.1,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-36.61,31.54,-1.77,-9.46,130196617.9,"Extant"
"97","Collocalia mearnsi","Collocalia_mearnsi","Apodidae","Apodiformes",6.2,1.9,2.1,1.8,8.9,109,74,35,67.9,46.5,11.3,"Forest",1,"1","Carnivore","Invertivore","Aerial",5.56,18.65,11.8,122.74,254011.61,"Extant"
"98","Caprimulgus tristigma","Caprimulgus_tristigma","Caprimulgidae","Caprimulgiformes",22.4,6.9,5,3,20.2,171.8,85.5,86.3,49.8,114.8,79,"Rock",3,"1","Carnivore","Invertivore","Aerial",-35.44,15.38,-7.06,21.08,4557630.15,"Extant"
