"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"429","Porphyrio porphyrio","Porphyrio_porphyrio","Rallidae","Gruiformes",56.2,26.2,9.4,21.3,79.9,234.9,69.3,158.3,30.5,85.5,773.9,"Wetland",2,"1","Herbivore","Herbivore aquatic","Terrestrial",-46.68,47.51,-3.51,82,18686249.25,"Extant"
"430","Tigrisoma lineatum","Tigrisoma_lineatum","Ardeidae","Pelecaniformes",109.4,81.8,12.4,20.4,98.8,306.7,50.4,253.2,16.8,135.1,813,"Wetland",2,"1","Carnivore","Aquatic predator","Terrestrial",-36.04,15.16,-9.3,-57.78,13239678.28,"Extant"
"431","Larus relictus","Larus_relictus","Laridae","Charadriiformes",47.5,17.6,6.4,11.2,54.7,335.2,164,171.2,48.9,128.8,490.2,"Wetland",3,"3","Carnivore","Aquatic predator","Aerial",40.08,50.69,47.08,99.19,1411880.5,"Extant"
"432","Dendrocygna bicolor","Dendrocygna_bicolor","Anatidae","Anseriformes",50.8,33.4,17.6,15.4,50.5,223,65.5,155,29.7,63,756.4,"Wetland",3,"2","Herbivore","Omnivore","Terrestrial",-39.86,34.72,-5.6,11.08,18668766.17,"Extant"
"433","Oxyura maccoa","Oxyura_maccoa","Anatidae","Anseriformes",45.6,22.4,21.6,11.6,33.3,156.4,66,89.2,42.5,68.2,674,"Wetland",3,"1","Omnivore","Omnivore","Aquatic",-34.84,15.46,-23.59,24.7,2242706.43,"Extant"
"434","Elseyornis melanops","Elseyornis_melanops","Charadriidae","Charadriiformes",17.3,10.2,3,3.6,24.8,107.8,49.3,58.2,45.8,55.8,33,"Wetland",3,"2","Carnivore","Aquatic predator","Terrestrial",-46.68,-10.51,-25.92,136.04,7354478.04,"Extant"
"435","Cisticola pipiens","Cisticola_pipiens","Cisticolidae","Passeriformes",14.5,8.2,2.5,3.4,22.8,64,6.7,57.3,10.5,73,13.5,"Wetland",3,"1","Carnivore","Invertivore","Insessorial",-19.77,-3,-12.05,25.61,1127080.04,"Extant"
"436","Phoenicoparrus andinus","Phoenicoparrus_andinus","Phoenicopteridae","Phoenicopteriformes",113.3,86.3,30.6,43.1,233,425,195.2,229.8,45.9,213,4900,"Wetland",3,"1","Herbivore","Herbivore aquatic","Terrestrial",-31.16,-13.43,-20.59,-67.75,190012.59,"Extant"
"437","Ardeola rufiventris","Ardeola_rufiventris","Ardeidae","Pelecaniformes",66.8,48.5,9.4,12.8,54.2,207.8,56.5,151.2,27.2,72,201.5,"Wetland",3,"1","Carnivore","Aquatic predator","Terrestrial",-33.45,1.3,-11.89,27.86,5546086.48,"Extant"
"438","Heliopais personatus","Heliopais_personatus","Heliornithidae","Gruiformes",52.8,26.9,6.6,12.2,47.6,239.5,95.8,143.8,40,108.2,510,"Wetland",2,"1","Carnivore","Aquatic predator","Aquatic",12.51,27.83,19.5,96.8,272422.63,"Extant"
"439","Donacobius atricapilla","Donacobius_atricapilla","Mimidae","Passeriformes",26.1,14.9,4.6,5.3,31.7,81.1,7.7,72.5,9.6,98.5,36.8,"Wetland",3,"1","Carnivore","Invertivore","Insessorial",-28.73,12.46,-5.58,-60.43,8620634.56,"Extant"
"440","Coturnicops exquisitus","Coturnicops_exquisitus","Rallidae","Gruiformes",12.4,6.6,2.1,3.5,21.8,74.5,17.1,57.4,23,30.5,60.9,"Wetland",2,"1","Carnivore","Omnivore","Terrestrial",43.32,53.02,47.98,126.99,152804.92,"Extant"
"441","Tigrisoma mexicanum","Tigrisoma_mexicanum","Ardeidae","Pelecaniformes",123.3,94.8,15.5,20.3,112.2,371.5,87.5,284,23.6,145.2,1154.4,"Wetland",2,"1","Carnivore","Aquatic predator","Terrestrial",7.2,29,17.32,-92.41,928353.01,"Extant"
"442","Gallinula ventralis","Gallinula_ventralis","Rallidae","Gruiformes",28.8,11.5,5.5,9.4,54.5,205.4,79,125,38.8,83,386.3,"Wetland",2,"2","Herbivore","Omnivore","Terrestrial",-38.91,-14.76,-27.18,134.26,4599237.18,"Extant"
"443","Circus approximans","Circus_approximans","Accipitridae","Accipitriformes",39.5,21.9,11.9,16.4,89.3,406.9,181.9,225,44.7,233.2,746.2,"Wetland",3,"2","Carnivore","Vertivore","Aerial",-47.28,-13.07,-33.9,146.38,2033024.84,"Extant"
"444","Podiceps cristatus","Podiceps_cristatus","Podicipedidae","Podicipediformes",57.5,35.4,6.6,10.6,60.9,183.6,79,105.4,42.9,40.7,731,"Wetland",3,"1","Carnivore","Aquatic predator","Aquatic",-46.18,66.14,44.79,63.48,19812770.45,"Extant"
"445","Ichthyophaga humilis","Ichthyophaga_humilis","Accipitridae","Accipitriformes",49.5,27.1,13.6,18.6,63,353.2,116.3,234.4,33.1,182.8,782,"Wetland",3,"1","Carnivore","Aquatic predator","Insessorial",-6.5,31.96,9.46,104.74,2763882.32,"Extant"
"446","Anas sibilatrix","Anas_sibilatrix","Anatidae","Anseriformes",37.6,24,15.2,12.2,36.3,245,119.8,123,49.5,83.8,923.2,"Wetland",3,"2","Herbivore","Omnivore","Terrestrial",-55.98,-30.33,-40.77,-67.67,2186262.24,"Extant"
"447","Xanthocephalus xanthocephalus","Xanthocephalus_xanthocephalus","Icteridae","Passeriformes",22.5,14.6,6.6,9.1,32.9,129.4,34.2,92.6,27,101.9,62.7,"Wetland",2,"2","Herbivore","Granivore","Terrestrial",31.47,59.17,46.37,-108.09,4756494.14,"Extant"
"448","Grus antigone","Grus_antigone","Gruidae","Gruiformes",176.2,88.2,12.9,22,301,597.5,224.5,373,37.6,238.2,5916.2,"Wetland",3,"2","Omnivore","Omnivore","Terrestrial",-20.71,32.21,15.23,94.27,1865498.59,"Extant"
"449","Ammodramus caudacutus","Ammodramus_caudacutus","Emberizidae","Passeriformes",15.7,9,3.8,5.4,21.2,56.8,10.6,46.1,18.9,47.5,19.2,"Wetland",3,"3","Carnivore","Invertivore","Generalist",36.02,43.95,39.39,-74.71,69526.84,"Extant"
"450","Bradypterus baboecala","Bradypterus_baboecala","Sylviidae","Passeriformes",14.8,8.2,2.5,3,20.4,58.5,7.3,50.8,12.6,64.2,12.9,"Wetland",3,"1","Carnivore","Invertivore","Insessorial",-34.84,13.42,-15.21,28.68,3450481.85,"Extant"
