"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"38","Lophornis brachylophus","Lophornis_brachylophus","Trochilidae","Apodiformes",12.9,10.1,1.6,1.6,2.8,42.5,27.2,15.3,64,24.5,2.7,"Forest",1,"1","Herbivore","Nectarivore","Aerial",17.27,17.43,17.34,-100.25,53.27,"Extant"
"39","Granatellus venustus","Granatellus_venustus","Cardinalidae","Passeriformes",13.7,8.6,4,4.8,19.9,62.6,8,54.6,12.8,74.2,10.8,"Forest",1,"1","Carnivore","Invertivore","Insessorial",15.66,25.36,19.21,-101.33,172036.22,"Extant"
"40","Anthochaera chrysoptera","Anthochaera_chrysoptera","Meliphagidae","Passeriformes",29.1,12.1,4.3,5.9,27.4,129.2,24.7,100,19.8,139.5,67.8,"Forest",2,"1","Herbivore","Nectarivore","Insessorial",-43.64,-24,-34.64,146.85,671226.2,"Extant"
"41","Ducula goliath","Ducula_goliath","Columbidae","Columbiformes",40.8,19.8,7.4,7.4,39.4,293.2,83.7,209.6,28.5,197,600,"Forest",2,"1","Herbivore","Frugivore","Insessorial",-22.7,-20.09,-21.34,165.5,16547.11,"Extant"
"42","Apteryx mantelli","Apteryx_mantelli","Apterygidae","Apterygiformes",140.6,4.3,4.3,4.5,64,0.1,0.1,0.1,0.1,0.1,2320.5,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",-40.89,-34.77,-37.84,175.51,37689.64,"Extant"
"43","Archilochus alexandri","Archilochus_alexandri","Trochilidae","Apodiformes",21.6,17.2,1.4,1.6,3.9,42.4,27.4,15,64.4,24.5,3.4,"Forest",2,"3","Herbivore","Nectarivore","Aerial",25.5,50.68,36.81,-111.12,2369566.67,"Extant"
"44","Parus rubidiventris","Parus_rubidiventris","Paridae","Passeriformes",11.5,7.6,3.7,4.2,19.4,69.6,13.1,56.6,18.8,50.5,11.8,"Forest",1,"1","Carnivore","Invertivore","Insessorial",24.91,38.28,31.96,98.06,949945.6,"Extant"
"45","Phaethornis philippii","Phaethornis_philippii","Trochilidae","Apodiformes",36,29.3,2.9,2.6,4.5,56.8,37.8,18.9,66.7,61.4,5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-13.91,-2.47,-7.46,-66.3,1596505.84,"Extant"
"46","Ptiloris victoriae","Ptiloris_victoriae","Paradisaeidae","Passeriformes",43.7,30,6.2,7.8,34.3,130,9.8,122,7.5,78.1,95,"Forest",1,"1","Omnivore","Omnivore","Insessorial",-19.56,-15,-17.51,145.68,31555.33,"Extant"
"47","Crypsirina cucullata","Crypsirina_cucullata","Corvidae","Passeriformes",22,13.4,7.9,10.2,26.9,107.5,15.8,91.8,14.7,175.7,132.5,"Forest",1,"1","Carnivore","Invertivore","Insessorial",17.97,25.43,21.18,95.37,112222.33,"Extant"
"48","Oriolus isabellae","Oriolus_isabellae","Oriolidae","Passeriformes",28.3,17.6,8.4,8.3,23.7,112.8,20.7,92.8,18.3,82.1,46.1,"Forest",1,"1","Omnivore","Frugivore","Insessorial",16.47,18.38,17.5,122.01,1081.94,"Extant"
"49","Pitohui nigrescens","Pitohui_nigrescens","Colluricinclidae","Passeriformes",29.8,15.7,8.6,9.6,31.1,122.4,19,103.4,15.5,104,76.9,"Forest",1,"1","Omnivore","Omnivore","Insessorial",-10.11,-0.56,-5.24,141.79,131590.72,"Extant"
"50","Pycnonotus nieuwenhuisii","Pycnonotus_nieuwenhuisii","Pycnonotidae","Passeriformes",18.2,10.7,4.2,4.3,16.4,84.7,15.7,67.3,18.9,68.7,25.5,"Forest",2,"2","Herbivore","Frugivore","Insessorial",1.75,4.81,3.33,100.88,56602.6,"Extant"
"51","Platysteira blissetti","Platysteira_blissetti","Platysteiridae","Passeriformes",15,7.8,5.5,4.2,18.1,52.3,3.6,48.4,7,24.5,11,"Forest",1,"1","Carnivore","Invertivore","Insessorial",4.28,10.34,6.76,-4.85,473029.12,"Extant"
"52","Myophonus melanurus","Myophonus_melanurus","Turdidae","Passeriformes",20.5,12,5.7,6.3,40,115.7,16.2,99.5,14,86.8,66.6,"Forest",1,"1","Herbivore","Omnivore","Insessorial",-5.29,5.18,0.97,99.52,66916.96,"Extant"
"53","Tesia castaneocoronata","Tesia_castaneocoronata","Sylviidae","Passeriformes",11,5.6,2.5,2.1,21.4,48,6.6,41.4,13.8,22.8,8.9,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",16.29,32.85,25.85,98.2,1980546.83,"Extant"
"54","Hypocryptadius cinnamomeus","Hypocryptadius_cinnamomeus","Zosteropidae","Passeriformes",18.3,10.3,4.2,5.5,21,91.1,19.7,69.9,22,63.2,30,"Forest",1,"1","Carnivore","Invertivore","Insessorial",5.86,9.34,7.6,125.05,6672.79,"Extant"
"55","Haliaeetus sanfordi","Haliaeetus_sanfordi","Accipitridae","Accipitriformes",59.5,38.9,18.6,26.9,83,523.2,186.8,336.4,35.7,265,1980,"Forest",2,"1","Carnivore","Omnivore","Generalist",-10.85,-5.01,-8.09,158.3,36124.13,"Extant"
"56","Nucifraga caryocatactes","Nucifraga_caryocatactes","Corvidae","Passeriformes",49.5,36.1,12.4,14.3,39.5,190.8,47.5,143.7,24.8,128.6,182.5,"Forest",1,"2","Omnivore","Granivore","Insessorial",21.9,70.87,55.46,100.01,17894760.51,"Extant"
"57","Pycnonotus cyaniventris","Pycnonotus_cyaniventris","Pycnonotidae","Passeriformes",14.6,8.6,3.9,3.9,14.2,75.6,13.4,62.8,17.5,58.6,22,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-5.95,14.54,1.51,108.49,926808.78,"Extant"
"58","Tyrannus crassirostris","Tyrannus_crassirostris","Tyrannidae","Passeriformes",30.1,20.6,12.6,10.3,19.7,126.3,36.3,88.3,29,96.8,55.9,"Forest",2,"1","Carnivore","Invertivore","Insessorial",15.65,32.91,22.95,-104.48,505171.68,"Extant"
"59","Cryptospiza reichenovii","Cryptospiza_reichenovii","Estrildidae","Passeriformes",11.6,8.1,6,6.3,17.5,53.4,7.9,44.6,15,40.5,12.4,"Forest",1,"1","Herbivore","Granivore","Generalist",-19.96,7.69,-6.37,30.89,435889.11,"Extant"
"60","Microeca papuana","Microeca_papuana","Petroicidae","Passeriformes",11.2,6.9,4.3,3.5,16.8,73.8,18.2,55.6,24.6,44,14.4,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-10.14,-0.51,-5.02,141.25,142595.35,"Extant"
"61","Mecocerculus poecilocercus","Mecocerculus_poecilocercus","Tyrannidae","Passeriformes",9.1,5.2,2.4,2.5,15.2,57.6,8.6,46.8,15.6,43.7,7.7,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-13.53,7.28,-3.05,-76.42,177426.02,"Extant"
"62","Phyllomyias griseiceps","Phyllomyias_griseiceps","Tyrannidae","Passeriformes",9,4.9,3.7,3.1,14.2,51.6,9.2,42,18,45.2,7.2,"Forest",1,"1","Omnivore","Invertivore","Insessorial",-12.12,11.36,3.46,-68.77,707633.09,"Extant"
"63","Agamia agami","Agamia_agami","Ardeidae","Pelecaniformes",158.8,146,12.5,17.4,98.3,273.6,92.1,184.7,33.4,97.2,567,"Forest",2,"1","Carnivore","Aquatic predator","Terrestrial",-18.44,19.63,-2.98,-63.92,7840247.37,"Extant"
"64","Poospiza alticola","Poospiza_alticola","Emberizidae","Passeriformes",13.7,7,3.7,4.8,23,72.5,10.9,61.1,15.1,78.5,24,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-9.98,-6.73,-9.22,-77.48,9865.32,"Extant"
"65","Melanocharis longicauda","Melanocharis_longicauda","Melanocharitidae","Passeriformes",13,7,3.7,4.1,17,67.4,13.7,54,20.2,56.8,12,"Forest",1,"1","Omnivore","Frugivore","Insessorial",-10.35,-0.41,-5.28,142.14,100278.19,"Extant"
"66","Hypositta corallirostris","Hypositta_corallirostris","Vangidae","Passeriformes",14,7.1,3.8,4,20,77.9,14.2,63.8,18.2,57.1,14.1,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-25.18,-13.2,-18.39,48.39,159578.63,"Extant"
"67","Buthraupis eximia","Buthraupis_eximia","Thraupidae","Passeriformes",20.2,10.4,7.1,9.6,30.3,116.7,21.5,95.3,18.3,91.6,62.7,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-5.38,7.59,0.56,-77.43,60098.85,"Extant"
"68","Cacomantis sonneratii","Cacomantis_sonneratii","Cuculidae","Cuculiformes",23.7,15.2,6.4,5.4,15.3,107.4,34.5,69.3,33.3,95.8,33.8,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-8.78,33.08,13.43,96.57,4946192.25,"Extant"
"69","Cinclocerthia gutturalis","Cinclocerthia_gutturalis","Mimidae","Passeriformes",41.4,27.6,5.1,6.4,30.4,103.1,16.5,86.8,16,89.4,69.2,"Forest",1,"1","Carnivore","Invertivore","Insessorial",13.7,14.88,14.38,-61,1756.73,"Extant"
"70","Amazona oratrix","Amazona_oratrix","Psittacidae","Psittaciformes",39.3,31.6,18.4,32.6,25.9,222.6,76.7,144.3,34.8,119.2,476.9,"Forest",2,"1","Herbivore","Omnivore","Insessorial",15.44,23.97,18.34,-93.37,48119.81,"Extant"
"71","Chrysococcyx cupreus","Chrysococcyx_cupreus","Cuculidae","Cuculiformes",19.8,11.9,5.5,5.3,15.8,105.7,39.4,64.8,37.9,90.6,37.7,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-34.21,18.1,-2.08,22.33,11402508.04,"Extant"
"72","Dryocopus hodgei","Dryocopus_hodgei","Picidae","Piciformes",46.4,31.2,11.6,11.1,31.4,184,39.1,145.9,21.1,146.8,156,"Forest",2,"1","Carnivore","Invertivore","Insessorial",10.51,13.68,12.29,92.78,5706.32,"Extant"
"73","Myiopagis cotta","Myiopagis_cotta","Tyrannidae","Passeriformes",11.7,6.2,3.1,3,16.7,66.2,12.2,54,18.5,63.2,11.6,"Forest",2,"1","Carnivore","Invertivore","Insessorial",17.7,18.53,18.16,-77.31,11021.79,"Extant"
"74","Sericornis nouhuysi","Sericornis_nouhuysi","Acanthizidae","Passeriformes",15.4,8.8,3.1,3.3,23.9,64,7.4,55.5,11.8,44.6,17.1,"Forest",1,"1","Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"75","Chlorothraupis carmioli","Chlorothraupis_carmioli","Cardinalidae","Passeriformes",23,13.6,8.2,8.9,22.5,86.6,15.2,71.6,17.5,64.8,37.6,"Forest",1,"1","Carnivore","Invertivore","Insessorial",7.85,14.67,11.23,-82.85,93291.5,"Extant"
"76","Monarcha cinerascens","Monarcha_cinerascens","Monarchidae","Passeriformes",20.7,13.4,6.5,5.3,19.1,79.5,15.6,67.9,18.7,69.1,29.6,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-11.66,4.55,-3.25,126.73,148476.26,"Extant"
"77","Creurgops dentatus","Creurgops_dentatus","Thraupidae","Passeriformes",14.9,8.1,5,5.9,19.9,69.1,12.8,56.5,18.4,65.4,19,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-17.52,-11.95,-14.55,-69.3,109941.34,"Extant"
"78","Eupetes macrocerus","Eupetes_macrocerus","Eupetidae","Passeriformes",29.2,14.4,4.8,4.8,44.1,98.4,3.8,90.5,4,114.6,69,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",-6.17,9.16,1.05,108.22,1103229.89,"Extant"
"79","Arachnothera flavigaster","Arachnothera_flavigaster","Nectariniidae","Passeriformes",40.3,31.9,7.4,6,20.4,102.2,18.7,83.6,18.2,44.5,38.4,"Forest",1,"1","Omnivore","Omnivore","Insessorial",-5.95,11.65,0.97,107.44,1166970.15,"Extant"
"80","Pomatorhinus montanus","Pomatorhinus_montanus","Timaliidae","Passeriformes",25.5,17.8,3.8,5.7,29.3,85,9.1,75.1,10.8,81.2,28.6,"Forest",1,"1","Carnivore","Invertivore","Generalist",-8.55,7.36,0.66,110.55,1078578.59,"Extant"
"81","Rhipidura opistherythra","Rhipidura_opistherythra","Rhipiduridae","Passeriformes",16.8,7.2,4.8,3.4,25.1,71.1,11.2,60,15.7,89.9,15,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-7.95,-6.86,-7.52,131.45,3122.04,"Extant"
"82","Calyptophilus frugivorus","Calyptophilus_frugivorus","Thraupidae","Passeriformes",23.8,14.2,3.9,6.2,26.8,88.4,11.7,76.7,13.2,84,32.1,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",17.94,19.31,18.79,-71.01,7294.34,"Extant"
"83","Schoutedenapus myoptilus","Schoutedenapus_myoptilus","Apodidae","Apodiformes",8.8,3,2.6,2.1,10.7,131.4,94.5,41.2,69.6,71.7,23.5,"Forest",1,"2","Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"84","Aviceda madagascariensis","Aviceda_madagascariensis","Accipitridae","Accipitriformes",28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,"Forest",1,"1","Carnivore","Vertivore","Insessorial",-25.09,-11.95,-18.1,47.27,340717.9,"Extant"
"85","Psittacula eques","Psittacula_eques","Psittacidae","Psittaciformes",28,22.9,15.1,23,18.3,177.8,73.2,104.5,41.2,186.4,163,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-20.49,-20.33,-20.41,57.47,68.35,"Extant"
"86","Synallaxis courseni","Synallaxis_courseni","Furnariidae","Passeriformes",13.9,8.6,3,3.7,22.3,58.1,5.8,51.9,10.1,109.9,16.8,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-15.03,-12.91,-13.7,-73.11,184.95,"Extant"
"87","Henicophaps foersteri","Henicophaps_foersteri","Columbidae","Columbiformes",34.3,20.7,6.4,8.6,34.5,203,52.3,150.7,25.8,135,247,"Forest",3,"1","Omnivore","Omnivore","Terrestrial",-6.31,-4.14,-5.46,150.63,31332.27,"Extant"
"88","Euphonia fulvicrissa","Euphonia_fulvicrissa","Thraupidae","Passeriformes",10.1,6.5,4.7,4.9,14.5,51.2,10.3,40.5,20.2,26.7,11,"Forest",2,"1","Herbivore","Frugivore","Insessorial",-0.12,9.64,5.95,-76.68,198414.88,"Extant"
"89","Chalcophaps stephani","Chalcophaps_stephani","Columbidae","Columbiformes",20.7,9.5,2.6,3.8,24.8,136,43.9,91.6,32.4,84.4,129,"Forest",3,"1","Herbivore","Omnivore","Generalist",-10.91,1.76,-4.92,138.77,866814.34,"Extant"
"90","Myiophobus inornatus","Myiophobus_inornatus","Tyrannidae","Passeriformes",11.9,6.1,4,3,17,62,12.2,49.8,19.6,49.9,11.2,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-17.31,-11.96,-14.78,-68.99,63282.28,"Extant"
"91","Penelope barbata","Penelope_barbata","Cracidae","Galliformes",35.4,14.1,9.2,9.6,55.7,241.9,29.6,212.2,12.6,255.2,665,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-6.99,-3.33,-5.36,-79.22,16461.26,"Extant"
"92","Grallaricula ferrugineipectus","Grallaricula_ferrugineipectus","Formicariidae","Passeriformes",17.2,8.9,4.8,4.4,25.7,70.9,9.3,65.1,12.5,38.2,17.2,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-16.73,11.13,-1.33,-72.94,140841.21,"Extant"
"93","Garrulax nuchalis","Garrulax_nuchalis","Timaliidae","Passeriformes",24.2,14.8,5.7,7.4,39.5,108.2,7.8,99.2,7.3,113.4,78,"Forest",2,"1","Carnivore","Invertivore","Terrestrial",25.12,28.02,26.4,96.55,60702.13,"Extant"
"94","Agapornis swindernianus","Agapornis_swindernianus","Psittacidae","Psittaciformes",15.6,13.4,8.5,12.2,11.2,92.6,38.5,54.8,41.3,35.2,40,"Forest",1,"1","Herbivore","Omnivore","Generalist",-4.44,7.84,1.27,19.53,1494870.12,"Extant"
"95","Crateroscelis nigrorufa","Crateroscelis_nigrorufa","Acanthizidae","Passeriformes",16,9.5,3.2,3.5,23.1,60.6,6.8,52.7,11.4,40.8,15.9,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",-10.05,-3.04,-5.46,142.22,105189.03,"Extant"
"96","Cacicus koepckeae","Cacicus_koepckeae","Icteridae","Passeriformes",27.3,16.6,5.9,7.8,27,110,20.2,89.8,18.3,100,48,"Forest",1,"1","Omnivore","Nectarivore","Insessorial",-12.4,-9.22,-11.15,-72.15,45403.99,"Extant"
"97","Sheppardia aurantiithorax","Sheppardia_aurantiithorax","Muscicapidae","Passeriformes",14.2,7.8,4.5,3.6,29,73.5,10.2,63.2,14.2,52.9,18.4,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-7.21,-6.3,-6.81,36.58,552.41,"Extant"
"98","Euphonia laniirostris","Euphonia_laniirostris","Thraupidae","Passeriformes",10.1,6.5,5.6,5.7,17.3,61,14,45.9,23.4,37.1,15,"Forest",2,"1","Herbivore","Frugivore","Insessorial",-19.51,11.52,-5.66,-67.05,4464958.75,"Extant"
"99","Pachycephala phaionota","Pachycephala_phaionota","Pachycephalidae","Passeriformes",19.3,10.9,5.2,5.8,22.5,84.2,16.2,67.5,19.3,62.9,24.8,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-5.91,1.35,-1.21,130.53,9616.8,"Extant"
"100","Sitta cashmirensis","Sitta_cashmirensis","Sittidae","Passeriformes",19.4,12.6,4.1,3.7,18.1,82.4,18,64.2,21.9,45.2,19,"Forest",1,"1","Carnivore","Invertivore","Insessorial",28.77,36.45,33.63,72.56,140130.44,"Extant"
"101","Thripadectes virgaticeps","Thripadectes_virgaticeps","Furnariidae","Passeriformes",28,17.4,5.6,7.7,28.6,98.1,13.1,85,13.3,92.3,65.8,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-0.83,10.56,4.54,-75.04,62554.86,"Extant"
"102","Oreomystis bairdi","Oreomystis_bairdi","Fringillidae","Passeriformes",16.8,11,4,5.2,20.1,67.2,13.3,54,19.8,45.8,14.2,"Forest",1,"1","Carnivore","Invertivore","Insessorial",22.05,22.17,22.1,-159.57,85.6,"Extant"
"103","Ducula aenea","Ducula_aenea","Columbidae","Columbiformes",30.1,16.2,8.1,6.8,30.4,239.7,73.8,166,30.8,141.5,545,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-10.32,28.15,12.16,102.13,5137324.12,"Extant"
"104","Pitta superba","Pitta_superba","Pittidae","Passeriformes",31.1,18.9,8.2,11.3,49.3,122.6,8.5,113.8,7,48.4,115,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",-2.25,-1.96,-2.09,146.91,1830.09,"Extant"
"105","Todiramphus farquhari","Todiramphus_farquhari","Alcedinidae","Coraciiformes",37,28.6,10.7,9.5,14.1,89,22.3,67.7,25,62,38.8,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-16.59,-14.63,-15.57,167.05,5637.52,"Extant"
"106","Rhagologus leucostigma","Rhagologus_leucostigma","Pachycephalidae","Passeriformes",17.2,9.6,4.2,5.5,20,87.8,19.5,68.2,22.2,64.5,26.8,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-10.26,-0.48,-5.04,141.21,150755.69,"Extant"
"107","Pycnonotus flavescens","Pycnonotus_flavescens","Pycnonotidae","Passeriformes",17.5,8.4,3.9,4.6,19.5,85.4,12.1,73.7,14.2,89.8,28.9,"Forest",2,"1","Omnivore","Omnivore","Insessorial",1.01,28.11,19.85,100.46,971669.58,"Extant"
"108","Phyllomyias uropygialis","Phyllomyias_uropygialis","Tyrannidae","Passeriformes",10.8,5.1,3.1,2.9,16.8,59.9,10.4,49.5,17.3,46.6,9,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-23.11,9.04,-8.98,-72.44,232128.96,"Extant"
"109","Columba torringtoniae","Columba_torringtoniae","Columbidae","Columbiformes",23.7,11.3,4.8,5.5,25,192.2,66.7,125.6,34.6,129,308.5,"Forest",2,"1","Herbivore","Frugivore","Insessorial",6.2,7.62,6.98,80.77,5001.87,"Extant"
"110","Dendrocolaptes hoffmannsi","Dendrocolaptes_hoffmannsi","Dendrocolaptidae","Passeriformes",39.8,27.4,8.5,8.3,29,136,24.5,111.6,18,122.8,83,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-15.62,-1.67,-8.57,-58.62,862883.58,"Extant"
"111","Cuculus clamosus","Cuculus_clamosus","Cuculidae","Cuculiformes",29.1,15.2,8.1,9.9,33,181,66.3,105.4,38.6,157,78.8,"Forest",2,"3","Carnivore","Invertivore","Insessorial",-34.84,17.95,-6.32,25.11,11853670.65,"Extant"
"112","Setophaga ruticilla","Setophaga_ruticilla","Parulidae","Passeriformes",12.3,6.8,4,3,17,62,15.6,48,24.6,52.6,8.2,"Forest",1,"3","Carnivore","Invertivore","Insessorial",30.05,65.02,47.72,-98.09,6675504.95,"Extant"
"113","Circus maillardi","Circus_maillardi","Accipitridae","Accipitriformes",37.4,19.9,11.1,16.6,83.5,353.2,144,214.8,40.2,229,663.6,"Forest",1,"1","Carnivore","Vertivore","Aerial",-21.36,-20.88,-21.1,55.53,1488.84,"Extant"
"114","Garrulax monileger","Garrulax_monileger","Timaliidae","Passeriformes",27.8,16.5,5.9,7.6,40.5,122.6,11.7,111.3,9.5,129,83.7,"Forest",1,"1","Carnivore","Invertivore","Generalist",10,29.69,21.73,103.79,2496742.03,"Extant"
"115","Stachyris melanothorax","Stachyris_melanothorax","Timaliidae","Passeriformes",15.4,8.3,3.2,3.8,20.5,54.4,6.5,47.5,12,51.2,16,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-8.62,-5.87,-7.27,109.14,62512.29,"Extant"
"116","Garrulax berthemyi","Garrulax_berthemyi","Timaliidae","Passeriformes",24.1,14.7,5.7,7.7,37.1,114.2,9.4,103.1,8.4,127.6,72,"Forest",1,"1","Omnivore","Invertivore","Insessorial",23.6,32.81,27.84,110.73,745865.96,"Extant"
"117","Picoides albolarvatus","Picoides_albolarvatus","Picidae","Piciformes",26,20.5,7.3,7.2,20.4,127,33.1,95.3,25.8,90,61.1,"Forest",2,"1","Carnivore","Invertivore","Insessorial",33.08,50.01,42.45,-119.71,499656.93,"Extant"
"118","Picumnus exilis","Picumnus_exilis","Picidae","Piciformes",11.2,9.2,3.5,4.8,11.2,48.6,6.6,41.6,13.6,26.3,9.3,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-19.86,9.1,1.98,-57.82,1241697.36,"Extant"
"119","Phylloscopus humei","Phylloscopus_humei","Sylviidae","Passeriformes",10,5.4,2.4,2.1,17.5,54.6,13,40.5,24.8,39.6,6,"Forest",1,"3","Carnivore","Invertivore","Insessorial",25.48,53.58,40.75,92.41,3694487.56,"Extant"
"120","Chlorestes notata","Chlorestes_notata","Trochilidae","Apodiformes",19.4,14.8,1.8,1.9,4.3,48,32.1,15.8,67,30,4.2,"Forest",3,"1","Herbivore","Nectarivore","Aerial",-23.01,10.84,-1.6,-59.99,4700543.44,"Extant"
"121","Camaroptera chloronota","Camaroptera_chloronota","Cisticolidae","Passeriformes",14.5,8.6,3.3,2.9,21.7,52,3.8,47.7,7.2,27.8,11.4,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-5.66,9.86,2.25,12.85,2907985.24,"Extant"
"122","Nectarinia regia","Nectarinia_regia","Nectariniidae","Passeriformes",18.8,13.4,2.9,2.5,15.6,52.7,8.4,44.2,15.9,44.8,6.6,"Forest",2,"1","Omnivore","Nectarivore","Insessorial",-6.5,0.9,-2.14,29.49,76601.79,"Extant"
"123","Vireo gracilirostris","Vireo_gracilirostris","Vireonidae","Passeriformes",18,9.2,3.3,3.5,20.8,62.9,8.8,53.5,14.1,57,16.5,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-3.88,-3.84,-3.86,-32.42,20.19,"Extant"
"124","Amazona versicolor","Amazona_versicolor","Psittacidae","Psittaciformes",38.8,30.7,18.6,32.4,26.3,256.6,79.8,174.5,31.4,167.2,676,"Forest",1,"1","Herbivore","Omnivore","Insessorial",13.79,13.99,13.88,-60.97,142.22,"Extant"
"125","Synallaxis castanea","Synallaxis_castanea","Furnariidae","Passeriformes",15.7,9.6,3,3.8,21.7,58.1,6.5,50.8,11.3,102.8,15,"Forest",1,"1","Carnivore","Invertivore","Insessorial",10.26,10.53,10.41,-66.97,2024.49,"Extant"
"126","Luscinia cyane","Luscinia_cyane","Muscicapidae","Passeriformes",15,8,3.3,3.4,24.7,74.4,19.3,55,26,46.4,14.8,"Forest",2,"3","Carnivore","Invertivore","Generalist",30.99,64.86,53.95,117.4,6965582.78,"Extant"
"127","Scytalopus latebricola","Scytalopus_latebricola","Rhinocryptidae","Passeriformes",14.8,8.5,3.4,4.1,23.4,58.2,5.7,53.1,9.6,40.7,18.1,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",10.07,11.23,10.77,-73.65,10255.87,"Extant"
"128","Tanysiptera sylvia","Tanysiptera_sylvia","Alcedinidae","Coraciiformes",35.8,27.8,11.3,11,15.7,94.2,20.3,73.9,21.6,154.8,49.6,"Forest",1,"3","Carnivore","Invertivore","Insessorial",-23.1,-4.11,-13.94,147.44,131182.12,"Extant"
"129","Crypturellus noctivagus","Crypturellus_noctivagus","Tinamidae","Tinamiformes",32.9,12.5,6.1,5.3,53.9,182.2,43.9,138.3,24.1,61.8,562,"Forest",1,"1","Herbivore","Omnivore","Terrestrial",-30.22,-7.13,-16.47,-43.19,1469564.58,"Extant"
"130","Columba vitiensis","Columba_vitiensis","Columbidae","Columbiformes",27.4,14,5.7,6.4,28.8,216.4,70.3,147,32.3,138,353,"Forest",2,"1","Herbivore","Omnivore","Insessorial",-22.47,19.58,-1.84,136.13,1128735.55,"Extant"
"131","Glaucis aeneus","Glaucis_aeneus","Trochilidae","Apodiformes",31.4,25.9,2.2,2.6,4.8,52.5,31.8,20.7,60.6,33.2,4.8,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-0.72,15.98,8.77,-81.78,170965,"Extant"
"132","Picumnus lafresnayi","Picumnus_lafresnayi","Picidae","Piciformes",10.4,7.6,3,4,11.6,50.8,8.6,41.9,17,24.1,9.5,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-12.51,3.16,-2.79,-74.57,779374.9,"Extant"
"133","Coeligena orina","Coeligena_orina","Trochilidae","Apodiformes",37.2,32.9,1.1,1.6,6.2,72.6,44.5,27.7,61.5,43.4,6.5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",5,6.63,5.83,-76.09,1794.64,"Extant"
"134","Alcippe rufogularis","Alcippe_rufogularis","Timaliidae","Passeriformes",12.8,7.3,3,3.7,21,55.7,6,49.1,10.9,50.3,13.6,"Forest",1,"1","Carnivore","Invertivore","Terrestrial",12.2,28.43,20.07,102.43,444866.63,"Extant"
"135","Malacoptila fusca","Malacoptila_fusca","Bucconidae","Piciformes",27.8,20.7,7.3,9.2,18,87.4,16.9,70.7,19.3,57,45.4,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-12.66,8.28,-0.06,-64.79,1912315.4,"Extant"
"136","Dendrocopos auriceps","Dendrocopos_auriceps","Picidae","Piciformes",23,17.2,5.6,5.8,18.2,114,35.5,77.2,31.5,73.4,39.9,"Forest",1,"1","Carnivore","Invertivore","Insessorial",26.54,35.8,29.88,79.25,79474.36,"Extant"
"137","Coccyzus pluvialis","Coccyzus_pluvialis","Cuculidae","Cuculiformes",41.7,23.4,8.5,12.3,41,177.6,22.6,153.7,12.8,279,163,"Forest",2,"1","Carnivore","Vertivore","Insessorial",17.7,18.53,18.16,-77.31,11021.79,"Extant"
