"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"33","Nesofregetta fuliginosa","Nesofregetta_fuliginosa","Hydrobatidae","Procellariiformes",21.9,10.3,4.7,5.3,44.6,197.6,110,86.8,55.9,99.8,70,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-31.42,8.04,-13.01,-122.15,29441980.12,"Extant"
"34","Glaucis dohrnii","Glaucis_dohrnii","Trochilidae","Apodiformes",28.4,24.2,2.8,3.1,3.4,62.9,27.8,32.9,46.3,39.9,5.8,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-19.24,-15.87,-16.91,-39.6,978.16,"Extant"
"35","Phaethornis koepckeae","Phaethornis_koepckeae","Trochilidae","Apodiformes",37.1,31.3,2.3,2.1,5.8,60.7,38,22.6,62.7,65.3,5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-13.75,-4.54,-10.14,-74.37,112547.48,"Extant"
"36","Hylocharis sapphirina","Hylocharis_sapphirina","Trochilidae","Apodiformes",20.5,16.1,2.1,2.1,4.7,49.5,31.8,17.7,64.2,29.5,4.4,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-28.13,8.41,-4.83,-59.16,3920507.06,"Extant"
"37","Sterna elegans","Sterna_elegans","Laridae","Charadriiformes",64.4,44.6,5.8,10.3,28.2,296.6,194.5,97.5,66.6,126.6,260,"Coastal",3,"3","Carnivore","Aquatic predator","Aerial",24.14,33.83,31.85,-116.3,1309.31,"Extant"
"38","Haliaeetus leucogaster","Haliaeetus_leucogaster","Accipitridae","Accipitriformes",71.3,39.2,18.5,24.9,86,556.7,231.8,330.2,41.3,253.3,2827,"Coastal",2,"1","Carnivore","Aquatic predator","Aerial",-43.64,26.38,-9.12,123.68,5127370.7,"Extant"
"39","Archilochus alexandri","Archilochus_alexandri","Trochilidae","Apodiformes",21.6,17.2,1.4,1.6,3.9,42.4,27.4,15,64.4,24.5,3.4,"Forest",2,"3","Herbivore","Nectarivore","Aerial",25.5,50.68,36.81,-111.12,2369566.67,"Extant"
"40","Oceanodroma tethys","Oceanodroma_tethys","Hydrobatidae","Procellariiformes",13.3,8.3,2,3.5,21.8,129.8,78.5,53.8,59.4,58.8,22.6,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-27.88,29.03,-1.79,-91.59,11745531.83,"Extant"
"41","Hieraaetus ayresii","Hieraaetus_ayresii","Accipitridae","Accipitriformes",33.5,20.5,11.7,17.8,68.2,383.5,130,251.8,34.2,210,806.1,"Woodland",3,"1","Carnivore","Vertivore","Aerial",-21.33,14.04,-5.21,29.21,5863148.99,"Extant"
"42","Eurostopodus archboldi","Eurostopodus_archboldi","Caprimulgidae","Caprimulgiformes",15.6,6.7,3.2,2.8,12.3,205,110,95,53.7,146,77,"Forest",1,"1","Carnivore","Invertivore","Aerial",-9.86,-1.09,-5.21,141.55,74591.66,"Extant"
"43","Gygis alba","Gygis_alba","Laridae","Charadriiformes",49.7,31.2,4.3,7.1,13.8,251.8,169.2,82.5,67.2,103.8,117,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-30.76,28.67,-5.58,-7.04,1087691.59,"Extant"
"44","Hylocharis humboldtii","Hylocharis_humboldtii","Trochilidae","Apodiformes",21,18.4,1.9,1.6,5.6,61.1,37.7,23,62.1,34.9,5.6,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",0.79,7.54,3.97,-77.85,21280.25,"Extant"
"45","Tachycineta euchrysea","Tachycineta_euchrysea","Hirundinidae","Passeriformes",9.5,4.8,3.1,2.6,10.8,108,60,48,55.5,56.6,17,"Forest",1,"1","Carnivore","Invertivore","Aerial",17.95,19.31,18.68,-71.37,8014.22,"Extant"
"46","Chlorostilbon poortmani","Chlorostilbon_poortmani","Trochilidae","Apodiformes",18.7,14.3,1.6,1.4,4.3,42.1,27.8,14.3,66,22.8,3.3,"Forest",2,"2","Herbivore","Nectarivore","Aerial",1.71,9.04,5.98,-73.29,63386.31,"Extant"
"47","Lesbia victoriae","Lesbia_victoriae","Trochilidae","Apodiformes",18.6,13.8,2.6,2.1,5.8,58.6,37.1,21,63.8,91.8,5,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-14.33,7.29,-6.52,-75.9,197489.26,"Extant"
"48","Falco concolor","Falco_concolor","Falconidae","Falconiformes",20.1,13.8,9.6,11.7,34,269,165.8,106.5,60.9,124.4,250,"Rock",3,"3","Carnivore","Vertivore","Aerial",14.29,31.69,25.38,33.18,374520.47,"Extant"
"49","Eriocnemis nigrivestis","Eriocnemis_nigrivestis","Trochilidae","Apodiformes",19.3,14.9,1.9,1.6,4.9,56.8,33.5,23.7,58.5,35.4,8.5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-0.11,0.51,0.1,-78.58,77.93,"Extant"
"50","Collocalia hirundinacea","Collocalia_hirundinacea","Apodidae","Apodiformes",6.4,2,2.1,1.6,8.4,115,79.4,35.5,69.1,47.5,10.1,"Forest",1,"1","Carnivore","Invertivore","Aerial",-10.7,-0.34,-4.76,140.79,583622.07,"Extant"
"51","Tachymarptis aequatorialis","Tachymarptis_aequatorialis","Apodidae","Apodiformes",14.7,5.2,4.3,3.1,16.4,207.4,149,58.2,71.9,90.2,92.8,"Shrubland",1,"2","Carnivore","Invertivore","Aerial",-21.27,16.99,-5.59,32.76,1399846.87,"Extant"
"52","Pterodroma baraui","Pterodroma_baraui","Procellariidae","Procellariiformes",32.1,24.8,9,9.6,35,269,156,113,58,113,400,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-44.37,4.93,-23.62,74.86,26305029.88,"Extant"
"53","Circus melanoleucos","Circus_melanoleucos","Accipitridae","Accipitriformes",29.9,15.5,9.4,13.1,72.5,352.6,179.8,176.5,50.5,214,336.3,"Grassland",3,"3","Carnivore","Vertivore","Aerial",25.99,54.28,49.1,122.04,1811211.65,"Extant"
"54","Metallura eupogon","Metallura_eupogon","Trochilidae","Apodiformes",17.8,12.2,1.4,1.9,5.2,59.6,36.6,23,61.3,41.8,4.6,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-13.55,-9.73,-11.59,-74.96,35465.53,"Extant"
"55","Chaetura spinicaudus","Chaetura_spinicaudus","Apodidae","Apodiformes",7.9,3.5,3.1,2.1,10.3,103.7,67.1,36.3,64.9,40.7,15.7,"Forest",1,"1","Carnivore","Invertivore","Aerial",-10.45,11.36,1.2,-60,3138608.09,"Extant"
"56","Heliodoxa leadbeateri","Heliodoxa_leadbeateri","Trochilidae","Apodiformes",28.9,21,2.9,2.1,5.7,67.2,43,24.2,64,45.2,7.4,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-17.95,11.22,-1.61,-73.44,409940.21,"Extant"
"57","Caprimulgus centralasicus","Caprimulgus_centralasicus","Caprimulgidae","Caprimulgiformes",15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"58","Amazilia viridicauda","Amazilia_viridicauda","Trochilidae","Apodiformes",25.3,19.7,2.4,2,5,56.4,36,19.8,64.5,34.8,6.1,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-13.37,-9.27,-11.93,-73.56,28878.13,"Extant"
"59","Milvus migrans","Milvus_migrans","Accipitridae","Accipitriformes",40.1,22.4,12.9,16.5,51.9,466.4,219.9,237.5,48.1,293.8,734.1,"Woodland",3,"3","Omnivore","Omnivore","Aerial",-54.78,69.76,26.77,69.99,59168603.49,"Extant"
"60","Chalcostigma heteropogon","Chalcostigma_heteropogon","Trochilidae","Apodiformes",15.8,11.4,1.5,1.6,6.2,70.7,43.9,26.7,62.2,58.2,6.1,"Grassland",3,"1","Herbivore","Nectarivore","Aerial",4.01,8.04,6.2,-73.14,29042.28,"Extant"
"61","Phaethornis subochraceus","Phaethornis_subochraceus","Trochilidae","Apodiformes",30.5,24.9,2.4,2.4,4,50.6,32.4,18.2,64,58.4,3.8,"Woodland",2,"1","Herbivore","Nectarivore","Aerial",-21.6,-13.93,-16.96,-61.42,338446.17,"Extant"
"62","Colibri delphinae","Colibri_delphinae","Trochilidae","Apodiformes",19,14.8,1.8,2.2,5.3,67.9,43.4,24.5,63.8,41.1,6.4,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-17.73,17.06,3.19,-69,1200069.73,"Extant"
"63","Morus capensis","Morus_capensis","Sulidae","Suliformes",91,91,23,29.1,59.4,449.8,269,180.8,59.8,173,2643.4,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-33.84,-25.72,-28.73,17.1,2.93,"Extant"
"64","Leucippus fallax","Leucippus_fallax","Trochilidae","Apodiformes",22.6,17.4,2.3,2.2,5.6,60,36.4,22.8,61.5,34.6,6,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",9.3,12.46,10.85,-70.3,93947.05,"Extant"
"65","Psalidoprocne fuliginosa","Psalidoprocne_fuliginosa","Hirundinidae","Passeriformes",9.8,4.2,2.5,2.3,9.6,99.4,48.3,51.5,48.4,57.2,12.2,"Forest",1,"2","Carnivore","Invertivore","Aerial",3.21,4.45,3.84,8.9,3496.28,"Extant"
"66","Metallura tyrianthina","Metallura_tyrianthina","Trochilidae","Apodiformes",16.5,11.9,2.1,1.7,5.3,54.2,32.3,21.9,59.7,37.8,3.8,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-18.07,11.05,-5.15,-74.34,422575.2,"Extant"
"67","Selasphorus platycercus","Selasphorus_platycercus","Trochilidae","Apodiformes",21.1,17,2.1,1.6,4.6,49,31.4,16.8,65.2,32.4,3.5,"Forest",2,"1","Herbivore","Nectarivore","Aerial",14.08,44.92,32.39,-107.32,696942.12,"Extant"
"68","Amazilia tobaci","Amazilia_tobaci","Trochilidae","Apodiformes",21.9,16.2,2.3,2,6.3,52,33.4,18.4,64.6,29.6,4.7,"Forest",1,"1","Herbivore","Nectarivore","Aerial",4.75,11.35,8.15,-65.63,434771.48,"Extant"
"69","Artamus superciliosus","Artamus_superciliosus","Artamidae","Passeriformes",22.9,12.8,5.8,6.3,20.5,119.5,52.4,67.2,43.8,74.1,35.5,"Woodland",2,"3","Carnivore","Invertivore","Aerial",-42.56,-11.63,-25.72,135.12,7162672.29,"Extant"
"70","Apus nipalensis","Apus_nipalensis","Apodidae","Apodiformes",8.9,3.5,3.2,2.1,11.3,130,89,42.7,67.6,48,29.8,"Human Modified",1,"3","Carnivore","Invertivore","Aerial",-10.37,37.11,16.15,106.18,5768014.18,"Extant"
"71","Cynanthus latirostris","Cynanthus_latirostris","Trochilidae","Apodiformes",20.1,17.2,2.6,2,5.3,50.6,33.1,17.5,65.4,31.6,3.1,"Woodland",3,"1","Herbivore","Nectarivore","Aerial",15.65,32.6,23.59,-104.27,784126.02,"Extant"
"72","Progne chalybea","Progne_chalybea","Hirundinidae","Passeriformes",15.3,7.8,5.6,4.5,13.5,130.6,69.2,57.3,54.8,66.4,50,"Shrubland",2,"1","Carnivore","Invertivore","Aerial",-38.84,25.35,-9.09,-60.79,15629572.14,"Extant"
"73","Eleothreptus anomalus","Eleothreptus_anomalus","Caprimulgidae","Caprimulgiformes",20,6.3,5,2.7,18.9,129.2,51.8,77.5,40,71.5,43.7,"Woodland",2,"1","Carnivore","Invertivore","Aerial",-34.82,-15.17,-25.06,-54.99,2166801.06,"Extant"
"74","Amazilia leucogaster","Amazilia_leucogaster","Trochilidae","Apodiformes",24.8,22,2.8,2.4,3.8,53.3,33.4,19.9,62.6,32.5,4.7,"Woodland",2,"1","Herbivore","Nectarivore","Aerial",-19.1,10.27,-0.39,-49.16,322459.95,"Extant"
"75","Pterodroma cookii","Pterodroma_cookii","Procellariidae","Procellariiformes",25.5,17.6,5.6,6.7,25.8,213.2,135.5,76,64.1,93.8,177.9,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-63.67,52.28,-11.01,-78.97,120250835.9,"Extant"
"76","Progne subis","Progne_subis","Hirundinidae","Passeriformes",16.8,9.4,5.9,4.8,15,147.2,76.6,70.7,52,72.4,53.8,"Forest",2,"1","Carnivore","Invertivore","Aerial",20.26,57.1,39.33,-93.05,5698973.38,"Extant"
"77","Tachornis phoenicobia","Tachornis_phoenicobia","Apodidae","Apodiformes",5.4,2.1,1.4,1.4,7.3,101.8,73.2,28.5,72,39.8,10.2,"Grassland",1,"1","Carnivore","Invertivore","Aerial",17.54,23.19,20.39,-75.98,194217.83,"Extant"
"78","Goethalsia bella","Goethalsia_bella","Trochilidae","Apodiformes",20.2,16.1,2.1,2.8,5.1,51.4,33.8,17.8,65.7,33.1,3.4,"Forest",1,"1","Herbivore","Nectarivore","Aerial",7.41,8.08,7.76,-77.84,1893.25,"Extant"
"79","Collocalia nuditarsus","Collocalia_nuditarsus","Apodidae","Apodiformes",7.6,3.7,2.9,2.6,10.9,125.2,84.8,40.4,67.7,48.2,13.4,"Forest",1,"1","Carnivore","Invertivore","Aerial",-8.89,-3.16,-5.64,141.54,364845.78,"Extant"
"80","Anthracothorax viridis","Anthracothorax_viridis","Trochilidae","Apodiformes",26.2,21.3,2.2,2.1,5.2,62.8,41.7,21.1,66.4,37,6.6,"Forest",1,"1","Herbivore","Nectarivore","Aerial",17.93,18.52,18.23,-66.48,8774.42,"Extant"
"81","Eurochelidon sirintarae","Eurochelidon_sirintarae","Hirundinidae","Passeriformes",15.9,9.3,4.8,4.9,16.8,117,59.7,57.3,51,39,26,NA,3,"3","Carnivore","Invertivore","Aerial",15.23,15.24,15.24,100.25,0.98,"Extant"
"82","Sula sula","Sula_sula","Sulidae","Suliformes",79.3,79,21.5,25.9,35.2,366.8,229.2,140.8,62,193.8,1031.1,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-29.43,29.12,-1.92,-3.71,122459893.2,"Extant"
"83","Phaethornis striigularis","Phaethornis_striigularis","Trochilidae","Apodiformes",23.7,19.6,2.4,2,4,39.1,25.4,13.1,66.2,36.4,3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-3.56,19.34,10.6,-82.36,764879.78,"Extant"
"84","Urosticte ruficrissa","Urosticte_ruficrissa","Trochilidae","Apodiformes",23,19.8,1.6,1.9,5.8,57,37.8,19.2,66.2,39.2,4.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-6.51,2.06,-2.4,-77.97,31247.82,"Extant"
"85","Phaethornis griseogularis","Phaethornis_griseogularis","Trochilidae","Apodiformes",25.3,20.9,1.7,1.9,3.6,36.2,24.4,11.9,67.3,36.8,2.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-6.37,10.41,1.84,-70.53,385191.87,"Extant"
"86","Caprimulgus natalensis","Caprimulgus_natalensis","Caprimulgidae","Caprimulgiformes",16.3,6.4,5,3.4,21,153.2,65.9,87.4,42.7,104,77.7,"Forest",2,"1","Carnivore","Invertivore","Aerial",-30.76,16.18,-5.81,22.7,2207800.39,"Extant"
"87","Zoonavena sylvatica","Zoonavena_sylvatica","Apodidae","Apodiformes",4.7,2,1.8,1.5,10.8,110.6,76.8,34.2,69.2,30.4,16,"Forest",1,"1","Carnivore","Invertivore","Aerial",8.77,31.06,22.96,81.81,735766.35,"Extant"
"88","Opisthoprora euryptera","Opisthoprora_euryptera","Trochilidae","Apodiformes",16.4,10.9,1.9,1.8,6.2,63.2,37.8,25.5,59.8,42.5,6.2,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-8.59,2.41,-2.77,-77.83,26992.64,"Extant"
"89","Campylopterus hyperythrus","Campylopterus_hyperythrus","Trochilidae","Apodiformes",22.9,17.1,2.1,1.9,5.3,63.2,37.5,25.7,59.2,43.5,6.4,"Forest",2,"1","Herbivore","Nectarivore","Aerial",4.4,6.32,5.28,-61.51,40875.45,"Extant"
"90","Caprimulgus europaeus","Caprimulgus_europaeus","Caprimulgidae","Caprimulgiformes",20.2,7.3,4.5,3.1,17.3,183.2,103.3,90.2,53.4,130.6,67,"Shrubland",2,"3","Carnivore","Invertivore","Aerial",25,64.46,47.43,55.71,19002486.05,"Extant"
"91","Hirundapus giganteus","Hirundapus_giganteus","Apodidae","Apodiformes",10.1,7,5.6,4.1,17.8,203.1,130.4,73.1,64.1,61.7,127,"Forest",1,"3","Carnivore","Invertivore","Aerial",-8.85,27.36,7.87,102.56,2715789.43,"Extant"
"92","Oceanodroma leucorhoa","Oceanodroma_leucorhoa","Hydrobatidae","Procellariiformes",18.5,10.6,3.4,5.1,24.2,158.4,87.3,71.6,55,81.8,36.7,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-42.6,71.23,24.34,-41.1,110025337.7,"Extant"
"93","Caprimulgus tristigma","Caprimulgus_tristigma","Caprimulgidae","Caprimulgiformes",22.4,6.9,5,3,20.2,171.8,85.5,86.3,49.8,114.8,79,"Rock",3,"1","Carnivore","Invertivore","Aerial",-35.44,15.38,-7.06,21.08,4557630.15,"Extant"
"94","Lophornis gouldii","Lophornis_gouldii","Trochilidae","Apodiformes",13.3,9.7,1.3,1.4,4.4,37.8,25.3,12.5,67,24.1,2.4,"Human Modified",2,"1","Herbivore","Nectarivore","Aerial",-16.97,-0.54,-8.27,-52.08,1191137.77,"Extant"
"95","Hirundo semirufa","Hirundo_semirufa","Hirundinidae","Passeriformes",12.2,5.4,4.2,3.4,15.1,126.9,62.4,64.5,49.2,119.1,30.1,"Grassland",3,"1","Carnivore","Invertivore","Aerial",-30.12,15.11,-3.97,17.35,8911972.36,"Extant"
"96","Rissa tridactyla","Rissa_tridactyla","Laridae","Charadriiformes",44.5,18.8,5.3,10.8,33.9,301,179.1,122.9,59.4,116,416,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",43.09,81.83,59.56,-52.28,2307068.48,"Extant"
"97","Glareola nordmanni","Glareola_nordmanni","Glareolidae","Charadriiformes",19.9,9.8,5.2,5.9,35.8,196,119.5,75,61.4,97.4,97.2,"Grassland",3,"3","Carnivore","Invertivore","Aerial",39.72,55.8,50.38,57.95,2251795.82,"Extant"
