"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Eupetomena macroura","Eupetomena_macroura","Trochilidae","Apodiformes",24.6,20.1,3,2.8,3.4,69.3,43.8,25.3,63.4,85,9,"Shrubland",3,"1","Herbivore","Nectarivore","Aerial",-29.16,2.71,-14.64,-48.41,4594117.6,"Extant"
"2","Chaetocercus bombus","Chaetocercus_bombus","Trochilidae","Apodiformes",15.5,11,1.5,1.1,3.4,28.2,16.8,12,58.4,20.8,6.5,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-8.71,1.82,-2.45,-78.91,174135.57,"Extant"
"3","Oceanites gracilis","Oceanites_gracilis","Hydrobatidae","Procellariiformes",13,5.3,1.8,2.8,29.6,133.4,79.4,54.4,59.3,55.8,16.7,"Marine",3,"2","Carnivore","Aquatic predator","Aerial",-35.29,2.31,-10.43,-80.86,1761960.92,"Extant"
"4","Chlorostilbon swainsonii","Chlorostilbon_swainsonii","Trochilidae","Apodiformes",20.1,15.6,2,1.8,4.6,54.6,35.9,18.7,65.7,39.8,4.3,"Forest",1,"1","Herbivore","Nectarivore","Aerial",17.61,19.95,18.91,-71.26,74117.21,"Extant"
"5","Campylopterus rufus","Campylopterus_rufus","Trochilidae","Apodiformes",29,22.5,2.5,2.7,6.5,71,44.4,26.3,62.8,47.8,7.1,"Forest",1,"1","Herbivore","Nectarivore","Aerial",13.31,16.5,14.6,-90.71,31219.99,"Extant"
"6","Polemaetus bellicosus","Polemaetus_bellicosus","Accipitridae","Accipitriformes",54.3,34.7,16.8,28.7,112.4,571.6,205.8,374.2,35.5,256,3964.5,"Grassland",3,"1","Carnivore","Vertivore","Aerial",-34.84,17.63,-3.45,22.51,14888019.22,"Extant"
"7","Eriocnemis luciani","Eriocnemis_luciani","Trochilidae","Apodiformes",24.6,19.8,2.1,2.2,6.5,69.4,43.5,26,62.6,50.9,6,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-14.53,8.58,-6.71,-76.04,82596.6,"Extant"
"8","Abeillia abeillei","Abeillia_abeillei","Trochilidae","Apodiformes",13,9.5,1.2,1.7,6.3,47,30.5,15.5,66.3,29.4,2.7,"Forest",2,"1","Herbivore","Nectarivore","Aerial",12.78,19.77,15.29,-89.79,144610.4,"Extant"
"9","Amazilia viridigaster","Amazilia_viridigaster","Trochilidae","Apodiformes",20.2,15.8,2.3,2,4.6,50.5,32.1,18.5,63.5,29.1,3.7,"Forest",2,"1","Herbivore","Nectarivore","Aerial",0.85,8.4,4.96,-64.84,278827.69,"Extant"
"10","Fregata andrewsi","Fregata_andrewsi","Fregatidae","Suliformes",124.8,102.4,24.4,22.2,29.1,618.8,386.5,232.2,62.5,401.8,1473.1,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-10.47,-10.42,-10.43,105.69,1.89,"Extant"
"11","Elanus axillaris","Elanus_axillaris","Accipitridae","Accipitriformes",25.3,15.5,9,11.4,38.8,288.4,153,135.2,53.1,136.8,270.1,"Grassland",3,"2","Carnivore","Vertivore","Aerial",-43.06,-10.69,-25.69,134.44,7649038.18,"Extant"
"12","Larus heermanni","Larus_heermanni","Laridae","Charadriiformes",56.3,18,6,12.2,51.6,336.2,185.8,150.5,55.2,133.2,500,"Coastal",3,"1","Carnivore","Aquatic predator","Aerial",20.29,36.98,27.49,-114.16,842438.69,"Extant"
"13","Topaza pella","Topaza_pella","Trochilidae","Apodiformes",30.3,21.3,2.8,3.1,5.8,75.1,47.5,27.6,63.3,74.1,12.1,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-11.19,8.32,0.85,-56.48,1678442.91,"Extant"
"14","Hirundo tahitica","Hirundo_tahitica","Hirundinidae","Passeriformes",12.8,6.8,4.7,2.6,10,106.5,55.2,51.6,51.6,49.2,17.8,"Coastal",3,"2","Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"15","Eurostopodus mystacalis","Eurostopodus_mystacalis","Caprimulgidae","Caprimulgiformes",19.3,8.2,5.3,3.9,19.2,229.6,121.3,112.8,51.6,148.1,134.5,"Forest",2,"1","Carnivore","Invertivore","Aerial",-39,-5.01,-26.79,149,1013520.02,"Extant"
"16","Glaucis hirsutus","Glaucis_hirsutus","Trochilidae","Apodiformes",33.1,28.6,3.2,3.5,4.1,58.8,34.8,23.4,59.8,39.1,6.8,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-24.03,12.23,-4.08,-62.8,7820159.95,"Extant"
"17","Eriocnemis glaucopoides","Eriocnemis_glaucopoides","Trochilidae","Apodiformes",25,19.8,1.8,2.1,4.3,50.3,32.1,18.1,63.9,38,3.7,"Human Modified",2,"1","Herbivore","Nectarivore","Aerial",-27.21,-16.73,-21.13,-64.8,57142.21,"Extant"
"18","Asio madagascariensis","Asio_madagascariensis","Strigidae","Strigiformes",33.6,18.6,11.4,17.2,42.7,256.8,79.7,177.1,31.1,147,322.5,"Forest",1,"1","Carnivore","Vertivore","Aerial",-25.61,-11.95,-19.33,46.73,579908.5,"Extant"
"19","Eriocnemis vestita","Eriocnemis_vestita","Trochilidae","Apodiformes",22.3,16.4,2,1.5,6.1,58.5,35.9,22.5,61.5,42.1,4.5,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-5.7,9.1,1.26,-76.42,97851.28,"Extant"
"20","Eriocnemis derbyi","Eriocnemis_derbyi","Trochilidae","Apodiformes",22.9,18,1.6,2,7.2,56.2,34.8,21.2,62.1,32.4,5.5,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-0.11,5.18,2.49,-76.53,24535.26,"Extant"
"21","Chlorostilbon lucidus","Chlorostilbon_lucidus","Trochilidae","Apodiformes",16.9,14.8,2.5,1.9,3.5,49.6,28.6,17.3,62.3,27.8,3.5,"Shrubland",2,"2","Herbivore","Nectarivore","Aerial",-36.65,-3.16,-19.91,-51.8,5788276.16,"Extant"
"22","Haplophaedia lugens","Haplophaedia_lugens","Trochilidae","Apodiformes",19.2,15.6,2.1,1.9,7.6,64.5,39.2,25.2,60.9,41.2,6.9,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-0.21,1.37,0.59,-78.2,4915.22,"Extant"
"23","Taphrolesbia griseiventris","Taphrolesbia_griseiventris","Trochilidae","Apodiformes",22.8,18.1,2.4,1.8,6,78.2,50.6,27.6,64.8,84.5,8.9,"Shrubland",2,"1","Herbivore","Nectarivore","Aerial",-9.84,-6.83,-8.38,-77.59,4114.53,"Extant"
"24","Artamus cinereus","Artamus_cinereus","Artamidae","Passeriformes",21,13.4,6,7,22.3,119.9,45.7,75.5,37.7,67.7,35.6,"Woodland",2,"1","Carnivore","Invertivore","Aerial",-37.08,-7.05,-24.9,133.79,7423572.8,"Extant"
"25","Oceanodroma hornbyi","Oceanodroma_hornbyi","Hydrobatidae","Procellariiformes",20.8,10.6,2.8,3.8,25,163.2,95.2,68,58.3,81.5,40.6,"Marine",3,"3","Carnivore","Aquatic predator","Aerial",-32.48,-0.63,-16.44,-76.49,1484280.66,"Extant"
"26","Heliothryx barroti","Heliothryx_barroti","Trochilidae","Apodiformes",21.9,16.2,2.2,2.2,4.5,63.8,43.4,20.4,68,57,5.5,"Forest",1,"1","Herbivore","Nectarivore","Aerial",-3.99,17.72,9.57,-81.72,491040.04,"Extant"
"27","Anthracothorax viridigula","Anthracothorax_viridigula","Trochilidae","Apodiformes",32,25.8,3,2.7,5.8,69.1,43.6,24.6,63.9,38.6,7.5,"Woodland",2,"1","Herbivore","Nectarivore","Aerial",-3.67,10.84,1.63,-54.12,591465.01,"Extant"
"28","Sephanoides sephaniodes","Sephanoides_sephaniodes","Trochilidae","Apodiformes",22,15.7,2.1,2.1,7.4,60,38.3,21.9,63.6,36.8,5.2,"Human Modified",2,"1","Herbivore","Nectarivore","Aerial",-55.98,-28.24,-44.63,-72.21,554286.53,"Extant"
"29","Heliomaster constantii","Heliomaster_constantii","Trochilidae","Apodiformes",35.8,32.3,2.5,2.7,4.2,62.7,41.5,20.6,66.8,35.2,7.3,"Woodland",2,"1","Herbivore","Nectarivore","Aerial",8.87,30.56,19.87,-100.02,554868.14,"Extant"
"30","Pseudhirundo griseopyga","Pseudhirundo_griseopyga","Hirundinidae","Passeriformes",9,3.8,2.7,2.1,11.3,95.5,48.7,46.4,51.2,73.1,10.2,"Grassland",3,"2","Carnivore","Invertivore","Aerial",-30.07,15.31,-6.89,24.25,5583454.87,"Extant"
"31","Accipiter tachiro","Accipiter_tachiro","Accipitridae","Accipitriformes",18,15.3,9.8,12.3,61,222.8,55.6,161.8,25.7,180.3,290.2,"Forest",1,"1","Carnivore","Vertivore","Aerial",-34.84,4.53,-12.54,29.9,5174215.21,"Extant"
"32","Collocalia rogersi","Collocalia_rogersi","Apodidae","Apodiformes",6.9,2.3,2.1,1.8,9.6,118.7,76.8,41.8,64.8,51.3,13.4,"Rock",1,"1","Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
