Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Chaetops_aurantius,Turdidae,Passeriformes,Chaetops aurantius,21.2,11,3.8,4.4,36.3,88,10.6,77,12.1,90,54.1,Shrubland,3,1,Carnivore,Invertivore,Terrestrial,-32.79,-28.32,-30.69,26.98,103523.76,Extant
Chaetops_frenatus,Turdidae,Passeriformes,Chaetops frenatus,24.2,13,3.7,4.9,34.4,87.3,10.3,77,11.8,91.7,55,Rock,3,1,Carnivore,Invertivore,Terrestrial,-34.84,-31.79,-33.59,20.91,66553.02,Extant
Chlamydochaera_jefferyi,Turdidae,Passeriformes,Chlamydochaera jefferyi,19.4,11.1,4.7,5.2,25.8,110.8,29.1,81.6,26.3,98.8,65.1,Forest,1,1,Herbivore,Frugivore,Insessorial,-0.88,6.44,2.46,115.23,63345.31,Extant
Cichlopsis_leucogenys,Turdidae,Passeriformes,Cichlopsis leucogenys,18.3,10.6,4.8,5.1,22.7,105.4,29.4,76.1,27.9,100.4,53.8,Forest,1,1,Carnivore,Invertivore,Insessorial,-21.34,6.92,-6.27,-52.13,217876.58,Extant
Cochoa_azurea,Turdidae,Passeriformes,Cochoa azurea,18.8,9.4,5,5.1,25.7,116,24.6,91.4,21.2,93,111.5,Forest,1,1,Omnivore,Frugivore,Insessorial,-7.55,-6.6,-7.06,107.57,8485.37,Extant
Cochoa_beccarii,Turdidae,Passeriformes,Cochoa beccarii,22,11.5,6.7,6.6,30.4,138,30.8,107.2,22.3,110,111.5,Forest,1,1,Herbivore,Frugivore,Insessorial,-4.53,5.04,1.03,99.51,64349.3,Extant
Cochoa_purpurea,Turdidae,Passeriformes,Cochoa purpurea,22,10.2,6.3,5.6,28.7,140.4,40,100.5,28.4,101.6,103,Forest,1,1,Omnivore,Frugivore,Insessorial,17.15,31.09,24.16,98.45,623216.09,Extant
Cochoa_viridis,Turdidae,Passeriformes,Cochoa viridis,24.1,11,6.7,6,26.1,143.3,39.5,103.5,27.6,114,120,Forest,1,1,Omnivore,Frugivore,Insessorial,10.49,28.87,20.3,100.59,1337235.03,Extant
Entomodestes_coracinus,Turdidae,Passeriformes,Entomodestes coracinus,18.7,10.2,5.5,5.2,24.3,107.6,20.7,86.9,19.3,107,56,Forest,1,1,Herbivore,Frugivore,Insessorial,-0.16,4.67,1.98,-77.61,21017.95,Extant
Entomodestes_leucotis,Turdidae,Passeriformes,Entomodestes leucotis,19.8,8.8,6,5,26.2,112.5,23.5,89.6,20.8,115.9,61.7,Forest,1,1,Herbivore,Frugivore,Insessorial,-18.23,-5.55,-12.37,-72.08,206932.1,Extant
Geomalia_heinrichi,Turdidae,Passeriformes,Geomalia heinrichi,28.4,17.8,6.5,9,45.9,111.8,14.7,97.1,13.1,140.1,73.2,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.66,0.94,-2.29,119.99,8733.46,Extant
Heinrichia_calligyna,Turdidae,Passeriformes,Heinrichia calligyna,17.7,10.2,4.3,4.8,32.5,84.1,13.1,71.1,15.6,74.6,26.8,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.86,1.11,-2.06,120.26,13319.89,Extant
Hylocichla_mustelina,Turdidae,Passeriformes,Hylocichla mustelina,19,11.9,5.1,5.4,32.1,106.5,29,78.9,26.9,71.3,50.1,Forest,1,3,Omnivore,Invertivore,Generalist,29.12,49.09,40.05,-83.73,3494414.7,Extant
Myadestes_coloratus,Turdidae,Passeriformes,Myadestes coloratus,14.3,6.9,4.9,4.4,20.5,86.2,19.2,67,22.3,81.5,28.9,Forest,2,1,Herbivore,Frugivore,Insessorial,7.45,9.08,8.24,-77.93,1786.57,Extant
Myadestes_elisabeth,Turdidae,Passeriformes,Myadestes elisabeth,14.8,8.4,4.5,4,21.7,86.2,18.4,67.8,21.4,88,30,Forest,1,1,Omnivore,Frugivore,Insessorial,19.98,22.82,21.2,-78.65,8505.1,Extant
Myadestes_genibarbis,Turdidae,Passeriformes,Myadestes genibarbis,14.1,7.4,4.4,3.8,21.4,87.4,20.9,66.6,23.9,91.2,29.2,Forest,1,1,Omnivore,Frugivore,Insessorial,13.12,19.95,18.68,-71.69,88012.58,Extant
Myadestes_lanaiensis,Turdidae,Passeriformes,Myadestes lanaiensis,19.5,9.6,4.8,4.9,31.9,90.5,16.1,71.9,18.3,75,50,Forest,1,1,Herbivore,Frugivore,Insessorial,NA,NA,NA,NA,NA,Extant
Myadestes_melanops,Turdidae,Passeriformes,Myadestes melanops,14.7,6.7,4.4,4.2,20.7,87,18.7,68.2,21.5,78.3,32.1,Forest,1,1,Herbivore,Frugivore,Insessorial,8.35,10.99,9.34,-83.05,31920.03,Extant
Myadestes_obscurus,Turdidae,Passeriformes,Myadestes obscurus,15.2,7.2,4.7,4.1,23.7,102,27.6,75,26.9,92.8,50.4,Forest,2,1,Herbivore,Frugivore,Insessorial,19.04,19.99,19.58,-155.35,2577.89,Extant
Myadestes_occidentalis,Turdidae,Passeriformes,Myadestes occidentalis,15.4,7.8,4.8,4.6,20.8,102.5,27.6,74.8,27,101.2,36.4,Forest,1,2,Herbivore,Frugivore,Insessorial,13.59,28.69,20.55,-100.39,528718.34,Extant
Myadestes_palmeri,Turdidae,Passeriformes,Myadestes palmeri,20.9,9.5,4.6,4.7,32.5,88.5,18.7,73.3,20.3,71.5,39.6,Forest,1,1,Herbivore,Frugivore,Insessorial,22.06,22.13,22.1,-159.56,32.06,Extant
Myadestes_ralloides,Turdidae,Passeriformes,Myadestes ralloides,14.8,6.8,4.6,3.7,20.5,84.1,19.6,64.5,23.3,78.2,29.1,Forest,1,2,Omnivore,Invertivore,Insessorial,-21.08,11.05,-3.19,-73.48,457703.18,Extant
Myadestes_townsendi,Turdidae,Passeriformes,Myadestes townsendi,15.7,8.2,4.4,4.6,20.9,113.3,34.3,80.6,29.9,103,33.2,Forest,2,2,Omnivore,Omnivore,Insessorial,21.72,66.88,49.88,-122.09,3710015.72,Extant
Myadestes_unicolor,Turdidae,Passeriformes,Myadestes unicolor,14.8,7.6,4.9,4.5,20,93.3,22,71.4,23.5,89.2,37.9,Forest,1,2,Herbivore,Frugivore,Insessorial,12.75,21.39,15.94,-90.38,184166.54,Extant
Myophonus_blighi,Turdidae,Passeriformes,Myophonus blighi,24.4,14.2,5.3,6.6,34.4,99.8,10.1,89.7,10.1,74,66.6,Forest,1,1,Carnivore,Invertivore,Terrestrial,6.6,7.61,6.97,80.79,3066.03,Extant
Myophonus_borneensis,Turdidae,Passeriformes,Myophonus borneensis,30.8,17.4,6.6,9.3,45.8,143.8,20.4,123.3,14.2,90.2,89.7,Forest,1,1,Carnivore,Omnivore,Terrestrial,-0.03,6.36,2.67,115.34,113340.65,Extant
Myophonus_caeruleus,Turdidae,Passeriformes,Myophonus caeruleus,33.3,19.4,6.9,9.6,49.9,169.4,35,133.8,20.7,119.4,158,Forest,1,1,Carnivore,Omnivore,Terrestrial,-8.78,43.53,26.68,98.33,6946443.79,Extant
Myophonus_castaneus,Turdidae,Passeriformes,Myophonus castaneus,28.1,14.8,6.3,8.4,43.1,137.4,21.8,111.7,16.3,86.2,89.7,Forest,1,1,Carnivore,Omnivore,Insessorial,-5.29,5.02,0.46,99.95,93269.9,Extant
Myophonus_glaucinus,Turdidae,Passeriformes,Myophonus glaucinus,28.5,16.6,5.8,8.3,43,138.8,19.5,119,14.1,84.6,89.7,Forest,1,1,Carnivore,Omnivore,Terrestrial,-8.42,-6.58,-7.46,110.17,24651.37,Extant
Myophonus_horsfieldii,Turdidae,Passeriformes,Myophonus horsfieldii,31.5,18.2,5.9,8.3,44.2,151.1,23.9,127.3,15.8,113.2,117,Forest,3,1,Carnivore,Aquatic predator,Terrestrial,8.38,25.6,19.16,76.74,412482.19,Extant
Myophonus_insularis,Turdidae,Passeriformes,Myophonus insularis,30.7,17.9,6.4,9,51.7,156,27.2,127,17.7,116.6,117,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,22.1,25.3,23.94,121.14,22221.54,Extant
Myophonus_melanurus,Turdidae,Passeriformes,Myophonus melanurus,20.5,12,5.7,6.3,40,115.7,16.2,99.5,14,86.8,66.6,Forest,1,1,Herbivore,Omnivore,Insessorial,-5.29,5.18,0.97,99.52,66916.96,Extant
Myophonus_robinsoni,Turdidae,Passeriformes,Myophonus robinsoni,29.4,16.9,5.9,8.7,44.4,140.2,19.6,120.6,14,95,99.2,Forest,1,1,Carnivore,Invertivore,Terrestrial,3.12,4.71,4.08,101.57,4373.93,Extant
Neocossyphus_poensis,Turdidae,Passeriformes,Neocossyphus poensis,18.2,11.1,5.8,4.9,28.4,101.6,19.7,86,18.5,84.8,51.8,Forest,1,1,Carnivore,Invertivore,Terrestrial,-8.82,9.59,0.89,15.37,2510054.88,Extant
Neocossyphus_rufus,Turdidae,Passeriformes,Neocossyphus rufus,18.4,10.5,5.1,5,28.4,106,26.9,89.8,23.1,91.7,65.9,Forest,1,2,Carnivore,Invertivore,Generalist,-10.74,5.91,-0.03,20.78,1123680.47,Extant
Nesocichla_eremita,Turdidae,Passeriformes,Nesocichla eremita,24.7,15.8,6,6.9,36.9,101.5,21.9,79.6,21.5,80.5,91,Shrubland,3,1,Carnivore,Omnivore,Terrestrial,-37.43,-37.06,-37.14,-12.34,123.54,Extant
Psophocichla_litsitsirupa,Turdidae,Passeriformes,Psophocichla litsitsirupa,28.1,17.6,6.4,6.5,34.6,129.5,41.5,87.9,32.1,70.8,74,Grassland,3,1,Carnivore,Invertivore,Terrestrial,-30.96,15.6,-14.93,24.92,3435021.81,Extant
Sialia_currucoides,Turdidae,Passeriformes,Sialia currucoides,16.4,9.6,3.9,3.9,21.9,114,41,71.2,36.6,70,29.6,Grassland,3,3,Omnivore,Invertivore,Insessorial,30.62,66.84,49.97,-118.28,4376669.8,Extant
Sialia_mexicana,Turdidae,Passeriformes,Sialia mexicana,15.1,8.6,3.4,3.9,19.8,104.4,39.2,66.2,37.2,64.2,26.4,Woodland,3,2,Omnivore,Omnivore,Insessorial,18.57,52.86,36.28,-112.01,1779665.7,Extant
Sialia_sialis,Turdidae,Passeriformes,Sialia sialis,15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,32.8,62.5,27.5,Woodland,2,2,Carnivore,Invertivore,Insessorial,12.85,53.98,38.51,-89.69,5460000,Extant
Stizorhina_finschi,Turdidae,Passeriformes,Stizorhina finschi,15.3,9.6,5.2,4.5,21.2,97.8,21.8,75.2,22.5,83.7,37,Forest,1,1,Carnivore,Invertivore,Insessorial,4.35,9.58,6.43,-4.55,397355.96,Extant
Stizorhina_fraseri,Turdidae,Passeriformes,Stizorhina fraseri,15.8,9.8,6.1,4.6,20.6,94.1,21.3,73,22.6,77.9,35.7,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.19,7.49,-1.61,19.5,3553586.08,Extant
Turdus_albicollis,Turdidae,Passeriformes,Turdus albicollis,23.5,10.9,4.6,6,30,110.8,23.6,88,21.2,90,54,Forest,1,1,Omnivore,Invertivore,Generalist,NA,NA,NA,NA,NA,Extant
Turdus_albocinctus,Turdidae,Passeriformes,Turdus albocinctus,27.6,15.8,5.3,6.7,33,136.2,34.3,101.9,25.1,106.6,99.4,Forest,1,2,Omnivore,Invertivore,Insessorial,26.67,33.03,28.91,86.49,375417.67,Extant
Turdus_amaurochalinus,Turdidae,Passeriformes,Turdus amaurochalinus,24.2,13,5,6.2,32.1,116.1,27.3,89.1,23.4,95.7,57.9,Forest,2,3,Omnivore,Invertivore,Insessorial,-40.49,-14.37,-25.16,-56.93,3768538.37,Extant
Turdus_assimilis,Turdidae,Passeriformes,Turdus assimilis,24.7,13.4,4.9,6.3,30.1,120.5,28.6,92.8,23.6,96.8,70.2,Forest,1,1,Omnivore,Invertivore,Generalist,7.24,28.86,17.54,-94.74,548279.87,Extant
Turdus_aurantius,Turdidae,Passeriformes,Turdus aurantius,26.5,15.7,5.6,7.2,37.4,117.1,23.1,94,19.7,92.7,81.9,Forest,2,2,Carnivore,Invertivore,Terrestrial,17.7,18.53,18.16,-77.31,11021.79,Extant
Turdus_bewsheri,Turdidae,Passeriformes,Turdus bewsheri,23.6,14.1,5.3,6.5,36.9,105.5,18.7,86.8,17.7,77.1,63.3,Forest,2,1,Omnivore,Omnivore,Insessorial,-12.41,-11.36,-11.89,43.67,1671.23,Extant
Turdus_boulboul,Turdidae,Passeriformes,Turdus boulboul,26.3,15.1,5.3,6.5,32.9,144.3,39.1,105,27.1,111.4,97.1,Forest,1,2,Omnivore,Invertivore,Insessorial,19.05,34.58,24.7,97.64,895101.39,Extant
Turdus_cardis,Turdidae,Passeriformes,Turdus cardis,23.5,12.5,4.7,6,29.4,115,33.6,81.1,29.2,76.9,58.9,Forest,1,3,Omnivore,Invertivore,Terrestrial,25.53,45.52,34.4,125.98,700863.37,Extant
Turdus_celaenops,Turdidae,Passeriformes,Turdus celaenops,25.9,14.1,5.2,6.6,32.5,117.5,28,89.4,23.9,87.7,84.5,Forest,2,1,Omnivore,Omnivore,Insessorial,29.43,34.53,31.23,132.94,785.32,Extant
Turdus_chiguanco,Turdidae,Passeriformes,Turdus chiguanco,29.4,17,5.8,7.4,38.8,136.4,31.2,105.2,22.9,120.8,93.3,Shrubland,2,1,Omnivore,Invertivore,Generalist,-39.88,-0.46,-24.84,-68.67,1447180.62,Extant
Turdus_chrysolaus,Turdidae,Passeriformes,Turdus chrysolaus,24.3,14.2,5,6.2,30.9,119.4,37.4,82.1,31.3,86.9,65.4,Forest,1,3,Omnivore,Invertivore,Insessorial,34.59,54.42,42.71,141.52,317940.09,Extant
Turdus_daguae,Turdidae,Passeriformes,Turdus daguae,19.8,11.3,5.1,6,26.8,106.4,23.8,83.1,22.3,78.8,54,Forest,1,1,Omnivore,Invertivore,Generalist,NA,NA,NA,NA,NA,Extant
Turdus_dissimilis,Turdidae,Passeriformes,Turdus dissimilis,23,14,5.5,6.4,28.2,118.1,30.8,87.3,26.1,75,75,Forest,1,1,Omnivore,Invertivore,Generalist,18.72,28.36,23.83,100.95,752193.68,Extant
Turdus_falcklandii,Turdidae,Passeriformes,Turdus falcklandii,27.1,16.7,6.4,7.6,38.9,134.9,37.4,97.6,27.7,102.9,93.9,Forest,2,2,Omnivore,Invertivore,Generalist,-55.58,-26.75,-43.48,-70.2,987518.62,Extant
Turdus_feae,Turdidae,Passeriformes,Turdus feae,22.7,12.2,4.4,5.7,29.9,124.7,39.7,84.9,31.9,92.5,71,Forest,1,3,Omnivore,Omnivore,Generalist,34.93,41.73,38.78,113.66,188621.54,Extant
Turdus_flavipes,Turdidae,Passeriformes,Turdus flavipes,21.7,11,5,5.7,25.7,110.6,28.6,81.9,25.9,84.1,65.1,Forest,2,1,Omnivore,Frugivore,Insessorial,-30.52,11.45,-13.08,-53.29,940922.25,Extant
Turdus_fulviventris,Turdidae,Passeriformes,Turdus fulviventris,26.2,15.1,5.3,7,33.8,124.3,24.4,99.9,19.7,97.1,70,Forest,1,1,Omnivore,Frugivore,Generalist,-5.46,10.93,2.85,-75.35,71579.24,Extant
Turdus_fumigatus,Turdidae,Passeriformes,Turdus fumigatus,24.2,13.8,5,6.7,31,113.5,23.9,89.6,21.1,90.8,75.7,Forest,1,1,Omnivore,Invertivore,Insessorial,-23.1,13.38,-3.14,-56.06,4070825.4,Extant
Turdus_fuscater,Turdidae,Passeriformes,Turdus fuscater,30.3,17,6.9,8.2,43.6,151.3,28.8,122.7,19,143,143,Forest,2,1,Omnivore,Invertivore,Generalist,-17.66,11.1,-3.16,-74.8,411278.64,Extant
Turdus_grayi,Turdidae,Passeriformes,Turdus grayi,21.4,13.6,5.7,6.5,33.6,118.1,26.1,96.4,21.4,101.9,79.5,Forest,2,1,Omnivore,Omnivore,Generalist,4.25,27.54,15.7,-87.95,1125160.83,Extant
Turdus_haplochrous,Turdidae,Passeriformes,Turdus haplochrous,24,13.3,5.3,6.7,32.1,111.2,20.8,90.4,18.7,94.2,84,Forest,2,NA,Omnivore,Omnivore,Generalist,-17.12,-13.72,-15.23,-63.56,191947.3,Extant
Turdus_hauxwelli,Turdidae,Passeriformes,Turdus hauxwelli,23.7,13.2,5.2,6,29.8,112.8,24.8,88.1,21.9,88.3,69,Forest,1,1,Omnivore,Invertivore,Insessorial,-18.19,1.5,-7.69,-66.74,3291833.35,Extant
Turdus_helleri,Turdidae,Passeriformes,Turdus helleri,24.3,14,5.1,6.9,30,116,19.6,96.4,16.9,89.8,68.7,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.48,-3.29,-3.37,38.33,154.35,Extant
Turdus_hortulorum,Turdidae,Passeriformes,Turdus hortulorum,23.3,12.6,4.9,6,31.3,115.8,32.9,82.8,28.4,83,66.7,Forest,1,3,Carnivore,Invertivore,Terrestrial,37.8,60.13,50.79,131.93,1755458.64,Extant
Turdus_ignobilis,Turdidae,Passeriformes,Turdus ignobilis,21.6,12.8,6.1,6.6,33.8,110.4,23.4,88.2,21,87.7,63.8,Forest,2,1,Omnivore,Omnivore,Insessorial,-17.48,9.53,-4.11,-68.19,2664279.85,Extant
Turdus_iliacus,Turdidae,Passeriformes,Turdus iliacus,22.7,12.2,4.4,5.5,28,116.3,37.7,79,32.3,78.3,61.2,Forest,1,3,Omnivore,Invertivore,Insessorial,49.19,71.49,61.67,73.85,11966382.53,Extant
Turdus_infuscatus,Turdidae,Passeriformes,Turdus infuscatus,22,12.1,5.2,6.1,29.7,122.5,33.3,91.7,26.6,104.2,72.4,Forest,1,1,Omnivore,Invertivore,Insessorial,13.52,23.73,16.41,-92.61,198275.61,Extant
Turdus_jamaicensis,Turdidae,Passeriformes,Turdus jamaicensis,20.3,12.3,5,5.8,34.4,115.1,24,91.1,20.9,90.5,59.1,Forest,2,1,Omnivore,Invertivore,Insessorial,17.7,18.53,18.16,-77.31,11021.79,Extant
Turdus_kessleri,Turdidae,Passeriformes,Turdus kessleri,25.1,13.9,5.5,6.5,35.7,149.7,43.1,106,28.9,124.2,76.3,Forest,2,3,Omnivore,Invertivore,Generalist,26.13,40.05,33.75,99.56,1057615.83,Extant
Turdus_lawrencii,Turdidae,Passeriformes,Turdus lawrencii,21.2,12.8,5.4,6.2,26.6,114.2,32.7,81.5,28.6,76.5,72.6,Forest,1,1,Omnivore,Omnivore,Insessorial,-14.62,6.82,-5.36,-66.74,3085560.28,Extant
Turdus_leucomelas,Turdidae,Passeriformes,Turdus leucomelas,22.2,13.4,5.1,6,32.4,111.6,24.8,85.8,22.4,92.1,69.1,Forest,1,1,Herbivore,Frugivore,Insessorial,-31.47,12.46,-9.57,-53.26,7690463.38,Extant
Turdus_leucops,Turdidae,Passeriformes,Turdus leucops,23.7,12.6,5.3,6.2,27.1,117.1,29.9,87,25.6,87.2,62.4,Forest,1,1,Herbivore,Frugivore,Insessorial,-18.23,11.2,-1.3,-70.79,490120.34,Extant
Turdus_lherminieri,Turdidae,Passeriformes,Turdus lherminieri,26.9,17.3,6.8,8,41.9,126,29.1,96.8,23.1,82.5,105,Forest,1,1,Omnivore,Invertivore,Insessorial,13.78,16.81,15.48,-61.43,1326.01,Extant
Turdus_libonyanus,Turdidae,Passeriformes,Turdus libonyanus,24.7,13.5,5,6.2,30,114,25.9,88.1,22.7,91.8,60.6,Woodland,2,1,Carnivore,Invertivore,Terrestrial,-31.43,-1.05,-15.11,28.43,4390032.16,Extant
Turdus_ludoviciae,Turdidae,Passeriformes,Turdus ludoviciae,22.7,12.9,4.5,6.1,28.9,115,22.3,91.5,19.6,99.5,62,Shrubland,3,1,Omnivore,Invertivore,Generalist,9.65,11.2,10.29,46.04,12100.21,Extant
Turdus_maculirostris,Turdidae,Passeriformes,Turdus maculirostris,22.5,13.3,4.9,6.1,30.3,112.6,20.6,93.4,18,97.7,69.6,Forest,2,1,Omnivore,Omnivore,Insessorial,-4.56,1.21,-1.23,-79.71,88017.54,Extant
Turdus_maranonicus,Turdidae,Passeriformes,Turdus maranonicus,24.9,14.9,5.9,6.1,31.8,116,23.2,92.8,20,88.5,70,Woodland,2,1,Omnivore,Omnivore,Generalist,-8.75,-4.54,-6.55,-78.29,39621.9,Extant
Turdus_menachensis,Turdidae,Passeriformes,Turdus menachensis,26,15.6,5.2,7.6,30.7,119.3,22.8,96.6,19,111.7,75.4,Woodland,2,1,Omnivore,Invertivore,Generalist,13.32,21.59,17.48,42.93,66735.6,Extant
Turdus_merula,Turdidae,Passeriformes,Turdus merula,27.7,15.1,5.4,7.2,33.6,131,30.6,100.4,23.2,108.4,102.7,Forest,2,1,Omnivore,Omnivore,Generalist,5.92,71.09,45.14,42.29,13987854.76,Extant
Turdus_migratorius,Turdidae,Passeriformes,Turdus migratorius,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,Forest,3,3,Omnivore,Invertivore,Generalist,15.92,70.58,50.87,-106.8,16457967.86,Extant
Turdus_mupinensis,Turdidae,Passeriformes,Turdus mupinensis,23.3,11.8,4.9,5.8,34.6,119.5,31.9,87.5,26.7,95.5,62.5,Forest,1,1,Omnivore,Omnivore,Generalist,22.8,41.83,31.34,106.08,1082838.83,Extant
Turdus_naumanni,Turdidae,Passeriformes,Turdus naumanni,23.3,12.4,4.5,5.6,31.2,128,42.1,85.6,33,88.9,73.2,Forest,2,3,Omnivore,Invertivore,Generalist,50,72.43,63.52,125.82,6362769,Extant
