Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Turdus_swalesi,Turdidae,Passeriformes,Turdus swalesi,29.3,17.6,6,8.1,43.9,129.5,23.8,105.7,18.4,109,75,Forest,2,1,Omnivore,Invertivore,Terrestrial,18.01,19.28,18.78,-71.12,4266.1,Extant
Turdus_tephronotus,Turdidae,Passeriformes,Turdus tephronotus,24.6,13.9,5,6.4,29.6,108.1,19.8,88.8,18.2,85.8,49.4,Shrubland,2,1,Omnivore,Invertivore,Generalist,-8.03,8.11,0.26,39.51,998012.21,Extant
Turdus_torquatus,Turdidae,Passeriformes,Turdus torquatus,26.1,13.9,5,6.6,32.8,141.6,44.7,96.9,31.6,109.6,109,Shrubland,2,3,Omnivore,Omnivore,Insessorial,35.89,71.19,52.28,23.79,1567292.49,Extant
Turdus_unicolor,Turdidae,Passeriformes,Turdus unicolor,23.1,12.9,4.7,5.7,30.3,120.5,35,85.4,29.1,81.7,64.2,Forest,2,1,Omnivore,Invertivore,Terrestrial,26.92,36.46,31.78,78.11,227865.96,Extant
Turdus_viscivorus,Turdidae,Passeriformes,Turdus viscivorus,26.4,14.5,5.7,6.9,32.7,153.7,53.9,99.6,35.1,111.8,117.4,Forest,2,1,Omnivore,Omnivore,Insessorial,28.1,69.37,51.99,46.29,13574080.75,Extant
Zoothera_andromedae,Turdidae,Passeriformes,Zoothera andromedae,28.1,18.1,4.9,6.7,31.4,120.8,32.5,88.4,26.8,69.8,90.5,Forest,1,1,Carnivore,Invertivore,Terrestrial,-9.75,16.53,0.42,106.94,132968.14,Extant
Zoothera_camaronensis,Turdidae,Passeriformes,Zoothera camaronensis,19,11.2,4.9,6.2,27.9,97.3,24.8,73.7,25.2,63,44,Forest,1,1,Carnivore,Invertivore,Terrestrial,-5.84,6.21,2.17,17.18,164377.94,Extant
Zoothera_cinerea,Turdidae,Passeriformes,Zoothera cinerea,22.4,13.6,6,6.7,31.1,114.2,33.6,80.6,29.4,70.6,63,Forest,1,3,Omnivore,Invertivore,Generalist,12.21,18.65,15.69,121.39,114921.74,Extant
Zoothera_citrina,Turdidae,Passeriformes,Zoothera citrina,21.7,13.2,4.7,5.9,31.1,118.2,33.3,79.2,29.6,73.4,53.3,Forest,1,3,Omnivore,Omnivore,Generalist,-8.85,34.17,21.21,95.99,3199105.31,Extant
Zoothera_crossleyi,Turdidae,Passeriformes,Zoothera crossleyi,22.7,14.6,5.3,7.1,33.4,107.6,24.6,83.4,22.8,74.8,72,Forest,1,3,Carnivore,Invertivore,Terrestrial,-4.43,7.67,3.88,14.74,79399.47,Extant
Zoothera_dauma,Turdidae,Passeriformes,Zoothera dauma,29.2,17,5.3,7,33.2,148.3,52,96.2,34.7,100.6,134.1,Forest,1,3,Carnivore,Invertivore,Generalist,-9.11,63.81,45.88,105.78,7192797.14,Extant
Zoothera_dixoni,Turdidae,Passeriformes,Zoothera dixoni,25.1,14.8,5.2,5.7,36.8,134.6,42.4,91.9,31.5,109.8,90,Forest,1,1,Carnivore,Invertivore,Terrestrial,20.59,34.29,27.47,97.95,975205.34,Extant
Zoothera_dohertyi,Turdidae,Passeriformes,Zoothera dohertyi,19.3,11.4,4.6,5.5,31.1,100.4,28,74.3,27.3,68,56.3,Forest,1,1,Carnivore,Invertivore,Generalist,-10.13,-8.14,-8.88,120.01,14083.94,Extant
Zoothera_dumasi,Turdidae,Passeriformes,Zoothera dumasi,21.1,12,4.6,6,32.1,91,19.4,71.6,21.3,96,49.5,Forest,1,2,Carnivore,Invertivore,Terrestrial,-3.84,-3.05,-3.42,126.63,8554.35,Extant
Zoothera_erythronota,Turdidae,Passeriformes,Zoothera erythronota,20.4,11.7,4.9,5.7,32.2,115.5,33.4,77.9,30,79.8,56.3,Forest,1,2,Carnivore,Invertivore,Terrestrial,-5.71,1.76,-2.2,121.07,157827.32,Extant
Zoothera_everetti,Turdidae,Passeriformes,Zoothera everetti,26.4,16.1,5,6.4,32.9,109,26.9,81.9,24.7,73.6,81.9,Forest,1,1,Carnivore,Invertivore,Terrestrial,3.24,6.26,5,115.94,3523.43,Extant
Zoothera_gurneyi,Turdidae,Passeriformes,Zoothera gurneyi,22.8,13.3,5,6.5,33.9,108,26.2,82.4,24.1,81,57.9,Forest,1,2,Carnivore,Invertivore,Terrestrial,-32.87,0.17,-14.57,33.31,421268.02,Extant
Zoothera_guttata,Turdidae,Passeriformes,Zoothera guttata,24.5,16.4,5.5,6.9,31.6,116.4,33,82.3,28.6,91,57.5,Forest,1,2,Omnivore,Omnivore,Terrestrial,-32.87,4.56,-17.19,30.57,43468.22,Extant
Zoothera_heinei,Turdidae,Passeriformes,Zoothera heinei,28.9,17.4,5.3,6.9,28.3,121.6,37.5,83.4,31,86.3,82.8,Forest,2,1,Carnivore,Invertivore,Terrestrial,-33.49,-1.32,-18.6,148.46,469278.97,Extant
Zoothera_imbricata,Turdidae,Passeriformes,Zoothera imbricata,30.8,19.8,5.5,7.3,28,121.8,31.6,90.2,26,74.5,134.1,Forest,1,3,Carnivore,Invertivore,Terrestrial,6.48,7.5,6.99,80.3,6316.49,Extant
Zoothera_interpres,Turdidae,Passeriformes,Zoothera interpres,18.8,12.1,5.2,5.4,27.2,102.1,27.7,75,26.9,52.9,47.3,Forest,2,1,Carnivore,Invertivore,Generalist,-9.11,9,-0.47,112.64,674548.8,Extant
Zoothera_joiceyi,Turdidae,Passeriformes,Zoothera joiceyi,19.7,11.2,4.5,5.6,35.6,90,16.3,73.7,18.1,64,49.5,Forest,1,2,Carnivore,Invertivore,Terrestrial,-3.88,-2.78,-3.23,129.37,18691.52,Extant
Zoothera_leucolaema,Turdidae,Passeriformes,Zoothera leucolaema,20.9,12,5.3,6.3,30.6,98.1,21.6,76.5,22,64.5,49.5,Forest,1,2,Carnivore,Invertivore,Terrestrial,-5.52,-5.29,-5.4,102.26,400.05,Extant
Zoothera_lunulata,Turdidae,Passeriformes,Zoothera lunulata,31.8,18.7,6.2,8,33.8,133.3,36.2,95.5,27.5,108.3,130,Forest,1,1,Carnivore,Invertivore,Terrestrial,-43.64,-16.29,-34.12,147.06,578456.61,Extant
Zoothera_machiki,Turdidae,Passeriformes,Zoothera machiki,24.6,14.4,5,5.8,31.8,113,30,82,26.8,86,81.9,Forest,2,1,Carnivore,Invertivore,Terrestrial,-7.98,-7.1,-7.54,131.45,3241.38,Extant
Zoothera_major,Turdidae,Passeriformes,Zoothera major,28.8,16.2,6.3,8.1,38.5,160.1,58.4,101.8,36.4,110.5,172,Forest,1,3,Carnivore,Invertivore,Generalist,28.11,28.53,28.31,129.43,723.01,Extant
Zoothera_margaretae,Turdidae,Passeriformes,Zoothera margaretae,22,12.6,5,5.8,36,89.5,13.5,75.5,15.2,64.8,65.3,Forest,1,2,Carnivore,Invertivore,Terrestrial,-10.79,-10.44,-10.64,161.93,965.95,Extant
Zoothera_marginata,Turdidae,Passeriformes,Zoothera marginata,33.2,22.4,5.6,6.9,28.2,120.8,30.7,90.1,25.4,76.6,81,Forest,1,2,Carnivore,Invertivore,Terrestrial,11.6,29.66,21.61,98.94,939864.56,Extant
Zoothera_mendeni,Turdidae,Passeriformes,Zoothera mendeni,22.8,13.9,5.1,6.4,27.9,111,31.4,79.6,28.3,72.3,56.3,Forest,2,1,Carnivore,Invertivore,Terrestrial,-2.49,-1.15,-1.71,124.4,7801.76,Extant
Zoothera_mollissima,Turdidae,Passeriformes,Zoothera mollissima,25.1,14.8,5.3,5.7,36.2,138.4,44,92.7,32.2,96.2,98.2,Shrubland,2,1,Omnivore,Invertivore,Terrestrial,26.06,34.38,29.55,93.56,435593.63,Extant
