"","x"
"218","Thaumastura cora"
"219","Chlorostilbon ricordii"
"220","Selasphorus flammula"
"221","Sterna lunata"
"222","Hirundo nigrorufa"
"223","Pterodroma inexpectata"
"224","Phaethornis pretrei"
"225","Chordeiles pusillus"
"226","Campylopterus excellens"
"227","Phaethornis longirostris"
"228","Hemiprocne longipennis"
"229","Amazilia edward"
"230","Caprimulgus climacurus"
"231","Caprimulgus cubanensis"
"232","Chordeiles gundlachii"
"233","Calonectris edwardsii"
"234","Oceanodroma markhami"
"235","Metallura baroni"
"236","Sterna nereis"
"237","Heliomaster squamosus"
"238","Eurostopodus argus"
"239","Anthocephala floriceps"
"240","Orthorhyncus cristatus"
"241","Aglaiocercus kingi"
"242","Chaetura fumosa"
"243","Tyto longimembris"
"244","Cypseloides storeri"
"245","Heliodoxa branickii"
"246","Progne tapera"
"247","Coeligena lutetiae"
"248","Atticora melanoleuca"
"249","Collocalia leucophaea"
"250","Mellisuga minima"
"251","Basileuterus flaveolus"
"252","Pterodroma cervicalis"
"253","Ammodramus leconteii"
"254","Drymodes brunneopygia"
"255","Hydropsalis climacocerca"
"256","Cissa chinensis"
"257","Cettia flavolivacea"
"258","Luscinia luscinia"
"259","Erythrura tricolor"
"260","Pipilo crissalis"
"261","Speculanas specularis"
"262","Strigops habroptila"
"263","Estrilda charmosyna"
"264","Pomatostomus halli"
"265","Aimophila rufescens"
"266","Aimophila quinquestriata"
"267","Cettia cetti"
"268","Macronectes giganteus"
"269","Lonchura nigerrima"
"270","Phylloscopus griseolus"
"271","Poephila personata"
"272","Illadopsis rufipennis"
"273","Agelaius phoeniceus"
"274","Centropus nigrorufus"
"275","Bleda notatus"
"276","Garrulax ngoclinhensis"
"277","Erythrura gouldiae"
"278","Larus dominicanus"
"279","Ficedula nigrorufa"
"280","Carduelis atrata"
"281","Phyllanthus atripennis"
"282","Garrulax monileger"
"283","Amandava amandava"
"284","Caprimulgus indicus"
"285","Buettikoferella bivittata"
"286","Turdus dissimilis"
"287","Microcerculus marginatus"
"288","Mimus macdonaldi"
"289","Cossypha caffra"
"290","Malcorus pectoralis"
"291","Stictonetta naevosa"
"292","Falco naumanni"
"293","Tarsiger cyanurus"
"294","Turdoides malcolmi"
"295","Sturnus sinensis"
"296","Uraeginthus ianthinogaster"
"297","Larus maculipennis"
"298","Milvus milvus"
"299","Garrulax affinis"
"300","Larus genei"
"301","Fulica atra"
"302","Cisticola njombe"
"303","Henicorhina leucophrys"
"304","Chondestes grammacus"
"305","Accipiter fasciatus"
"306","Micrastur ruficollis"
"307","Estrilda nonnula"
"308","Scytalopus atratus"
"309","Saltatricula multicolor"
"310","Spizaetus ornatus"
"311","Hieraaetus spilogaster"
"312","Aphelocoma ultramarina"
"313","Tyto tenebricosa"
"314","Cettia annae"
"315","Cisticola woosnami"
"316","Myrmecocichla albifrons"
"317","Turdoides leucopygia"
"318","Acridotheres cinereus"
"319","Hydropsalis torquata"
"320","Agapornis nigrigenis"
"321","Larus melanocephalus"
"322","Turdus daguae"
"323","Cinclus schulzi"
"324","Incana incana"
"325","Paroaria baeri"
"326","Ammodramus nelsoni"
"327","Pomatostomus ruficeps"
"328","Pipilo fuscus"
"329","Lonchura flaviprymna"
"330","Amphispiza bilineata"
"331","Spizella atrogularis"
"332","Stachyris leucotis"
"333","Aquila adalberti"
"334","Psilopsiagon aurifrons"
"335","Gypsophila crispifrons"
"336","Illadopsis rufescens"
