Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Pardirallus maculatus,Pardirallus_maculatus,Rallidae,Gruiformes,43.4,28.9,4.5,8.1,38.7,121.8,30.9,91.9,25.1,48.2,171,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,-37.4,23.07,-12.71,-54.59,7546722.29,Extant
Pardirallus nigricans,Pardirallus_nigricans,Rallidae,Gruiformes,52.8,31.2,4,7.6,46.5,128.8,24.3,103.2,19.2,53,217,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,-30.44,9.7,-17.74,-52.68,3254810.22,Extant
Pardirallus sanguinolentus,Pardirallus_sanguinolentus,Rallidae,Gruiformes,54.1,34.8,4,7.5,42.1,126.2,31.2,94.8,24.8,63.2,232,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,-55.72,-3.6,-32.74,-64.19,4579906.01,Extant
Porphyrio alleni,Porphyrio_alleni,Rallidae,Gruiformes,33,14.6,5.2,9.9,49.4,152.6,50.5,96.2,34.5,63.6,138.7,Wetland,2,3,Herbivore,Herbivore aquatic,Terrestrial,-29.95,17.12,-1.98,21.39,16360428.26,Extant
Porphyrio flavirostris,Porphyrio_flavirostris,Rallidae,Gruiformes,25.4,14.3,4.2,8.1,37.4,132.2,49.8,82.5,37.6,69,92.6,Wetland,2,2,Omnivore,Omnivore,Terrestrial,-26.78,10.84,-9.79,-61.11,5270055.29,Extant
Porphyrio hochstetteri,Porphyrio_hochstetteri,Rallidae,Gruiformes,71.2,42.7,15.2,39.3,95.8,232.5,30.5,202,13.3,107,2462.2,Grassland,3,1,Herbivore,Omnivore,Terrestrial,-45.51,-36.59,-45.22,167.7,670.74,Extant
Porphyrio martinica,Porphyrio_martinica,Rallidae,Gruiformes,30.6,17,6.3,12,56.2,174.4,47,127.6,26.9,72.8,235.1,Wetland,2,1,Herbivore,Herbivore aquatic,Terrestrial,-35.62,34.48,-6.17,-62.47,16393196.71,Extant
Porphyrio porphyrio,Porphyrio_porphyrio,Rallidae,Gruiformes,56.2,26.2,9.4,21.3,79.9,234.9,69.3,158.3,30.5,85.5,773.9,Wetland,2,1,Herbivore,Herbivore aquatic,Terrestrial,-46.68,47.51,-3.51,82,18686249.25,Extant
Porzana albicollis,Porzana_albicollis,Rallidae,Gruiformes,46.1,36.1,7.9,9.4,32.7,115.5,16.7,108.8,13.2,96.2,100,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,-32.19,12.46,-13.45,-53.51,6152059.49,Extant
Porzana atra,Porzana_atra,Rallidae,Gruiformes,22,11.4,2.8,5.4,30.4,80,19.7,60.3,24.5,39,77.4,Forest,1,1,Carnivore,Invertivore,Terrestrial,-24.41,-24.32,-24.36,-128.32,41.11,Extant
Porzana carolina,Porzana_carolina,Rallidae,Gruiformes,20.4,10.1,3,5.7,30.1,102.5,34.8,69.5,33.4,50.8,74.8,Wetland,1,3,Omnivore,Omnivore,Terrestrial,30.64,65.84,48.73,-101.49,9780642.26,Extant
Porzana cinerea,Porzana_cinerea,Rallidae,Gruiformes,24.8,12.6,3.2,5.8,32.3,94,23,71,24.4,48.8,52.1,Wetland,2,1,Omnivore,Aquatic predator,Terrestrial,-22.47,19.58,-3.66,124.66,3636005.21,Extant
Porzana flaviventer,Porzana_flaviventer,Rallidae,Gruiformes,16.9,9.3,2.2,4.2,22.5,66.2,17.5,48.8,26.4,28.5,24.9,Wetland,1,2,Omnivore,Aquatic predator,Terrestrial,-34.98,23.19,-8.68,-62.91,2593534.55,Extant
Porzana fluminea,Porzana_fluminea,Rallidae,Gruiformes,20.9,9.3,2.7,5.2,27.2,96.8,33.8,63,34.9,48.5,60.8,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,-43.64,-15.74,-30.69,139.88,1975889.79,Extant
Porzana fusca,Porzana_fusca,Rallidae,Gruiformes,26,12.1,3,5.1,31,94.5,21,73.5,22.2,42.5,57.3,Wetland,2,2,Omnivore,Aquatic predator,Terrestrial,-10.32,47.9,24.18,110.66,6674711.81,Extant
Porzana parva,Porzana_parva,Rallidae,Gruiformes,19.4,11.1,2.4,4.7,28.6,100.9,43.8,55.8,44,52.9,49.7,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,35.65,63.76,50.9,51.02,6785055.74,Extant
Porzana paykullii,Porzana_paykullii,Rallidae,Gruiformes,28.5,14.1,3.7,7.3,35.8,126.4,37.5,89.7,29.4,53.4,111,Wetland,2,3,Carnivore,Aquatic predator,Terrestrial,32.27,53.85,44.21,125.72,1588796.19,Extant
Porzana porzana,Porzana_porzana,Rallidae,Gruiformes,19.8,10.4,2.5,5,28.7,112.9,39,73.9,34.5,45,87.1,Wetland,1,3,Omnivore,Aquatic predator,Terrestrial,24.02,65.92,54.44,55.52,10691863.17,Extant
Porzana pusilla,Porzana_pusilla,Rallidae,Gruiformes,17.4,9.2,2.4,4.8,25,84.4,29.8,54.5,35.3,32.2,35.4,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,-47.29,63.86,23.48,74.5,19543407.73,Extant
Porzana spiloptera,Porzana_spiloptera,Rallidae,Gruiformes,15.2,7,2.1,3.6,22,76.2,17.8,59,23.2,34,52.1,Wetland,2,2,Omnivore,Aquatic predator,Terrestrial,-42.88,-27.63,-33.79,-59.69,133958.77,Extant
Porzana tabuensis,Porzana_tabuensis,Rallidae,Gruiformes,19.3,9.5,2.3,4.7,24.4,80.4,24.2,57.5,29.5,35.6,42.2,Wetland,2,1,Omnivore,Omnivore,Terrestrial,-46.68,18.65,-25.45,142.45,2288129.09,Extant
Rallina canningi,Rallina_canningi,Rallidae,Gruiformes,31.2,16,4.1,7.8,55.3,148.8,11.4,137.3,7.6,75.2,178,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,10.51,13.58,12.31,92.77,5240.42,Extant
Rallina eurizonoides,Rallina_eurizonoides,Rallidae,Gruiformes,25.3,13.1,3.8,6.5,42.2,125.8,28.8,95.4,23.2,61.2,109,Forest,1,1,Omnivore,Omnivore,Terrestrial,-5.71,31.12,18.18,103.78,2090656.41,Extant
Rallina fasciata,Rallina_fasciata,Rallidae,Gruiformes,25.1,12.7,3.5,6.1,38.3,122.2,33.5,88.1,27.5,48.2,100,Wetland,1,1,Carnivore,Omnivore,Terrestrial,-10.37,24.82,4.3,108.5,1943821.53,Extant
Rallina forbesi,Rallina_forbesi,Rallidae,Gruiformes,29.4,15.8,4.4,7.5,38.3,106.7,6.4,99.1,6,56.8,85.1,Forest,1,1,Carnivore,Invertivore,Terrestrial,-10.42,-3.34,-5.77,142.72,196864.35,Extant
Rallina leucospila,Rallina_leucospila,Rallidae,Gruiformes,24,13.1,4.5,8,36.3,106.8,1.4,105.4,1.3,64,120,Forest,1,1,Carnivore,Invertivore,Terrestrial,-2.9,-0.44,-1.11,133.31,16734.29,Extant
Rallina mayri,Rallina_mayri,Rallidae,Gruiformes,28,15.5,5,7.8,34.3,109.4,6.9,102.5,6.3,66.8,122.9,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.82,-2.4,-3.42,142.38,12498.7,Extant
Rallina rubra,Rallina_rubra,Rallidae,Gruiformes,26.5,12.9,4,6.7,37.5,92.5,5.5,87,5.8,59,81,Forest,1,1,Carnivore,Invertivore,Terrestrial,-6.37,-0.87,-4.32,139.32,104309.04,Extant
Rallina tricolor,Rallina_tricolor,Rallidae,Gruiformes,32.8,17.3,4.8,8.9,48.8,134.5,22.1,112.2,16.3,60,178,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,-19.75,0.04,-5.7,141.08,727507.1,Extant
Rallus antarcticus,Rallus_antarcticus,Rallidae,Gruiformes,32.5,22,3.1,5.2,28.8,91.4,27.3,64,29.9,47.2,60.4,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,-53.9,-40.38,-49.58,-70.18,116492.9,Extant
Rallus aquaticus,Rallus_aquaticus,Rallidae,Gruiformes,42,27.3,3.5,6.2,39.1,116.7,35.2,81.2,30.3,52.2,110.7,Wetland,1,2,Carnivore,Aquatic predator,Terrestrial,24.01,63.76,47.81,62.34,15247128.44,Extant
Rallus caerulescens,Rallus_caerulescens,Rallidae,Gruiformes,50.2,32.9,4,7.5,40.3,119,21.9,94.4,18.9,42,162.1,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,-34.84,13.61,-13.68,29.18,5673805.66,Extant
Rallus elegans,Rallus_elegans,Rallidae,Gruiformes,60.3,28.9,4.2,7.3,51.9,156,37.6,117.3,24.3,61,313.3,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,17.85,47.12,35.64,-89.39,3370002.52,Extant
Rallus limicola,Rallus_limicola,Rallidae,Gruiformes,37.8,24.9,2.9,5.4,32.4,101,26.8,74.2,26.5,38.6,84.1,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,-17.32,55.34,43.23,-100.95,5650094.92,Extant
Rallus longirostris,Rallus_longirostris,Rallidae,Gruiformes,58.5,29.7,4.8,7.7,46.2,142.2,30.5,111.8,21.3,52.9,259.4,Coastal,1,2,Carnivore,Aquatic predator,Terrestrial,-28.62,43.46,13.27,-70.21,643613.12,Extant
Rallus madagascariensis,Rallus_madagascariensis,Rallidae,Gruiformes,55.6,42,4.8,7.4,37.6,105.8,21.2,84.5,20.1,40,114,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,-25.06,-14.18,-19.14,48.36,149530.83,Extant
Rallus semiplumbeus,Rallus_semiplumbeus,Rallidae,Gruiformes,41.1,28.1,3.6,6.1,37.8,105,24,81,22.7,41.5,84.1,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,4.27,5.56,4.68,-74.18,728.49,Extant
Rallus wetmorei,Rallus_wetmorei,Rallidae,Gruiformes,52.5,34.1,4.7,8.1,42.7,125,22,103,17.6,46,259.4,Woodland,2,2,Carnivore,Aquatic predator,Terrestrial,10.43,10.96,10.7,-68.11,117.29,Extant
Rougetius rougetii,Rougetius_rougetii,Rallidae,Gruiformes,34.1,18,4.1,6.6,49.2,128.4,19.3,107.7,15.2,47.6,193.4,Wetland,2,1,Omnivore,Omnivore,Terrestrial,5.11,15.68,9.48,37.97,344840.95,Extant
Sarothrura affinis,Sarothrura_affinis,Rallidae,Gruiformes,12.5,5.3,2,3.3,16.8,67.2,9.4,57.9,13.9,37.2,27.8,Wetland,1,1,Omnivore,Omnivore,Terrestrial,-34.84,4.93,-22.8,29.76,524225.88,Extant
Sarothrura ayresi,Sarothrura_ayresi,Rallidae,Gruiformes,11.3,5.7,2,4,20.9,73,19,54,26,35.6,31.8,Grassland,1,1,Omnivore,Omnivore,Terrestrial,-25.57,9.44,3.8,37.32,2995.34,Extant
Sarothrura boehmi,Sarothrura_boehmi,Rallidae,Gruiformes,13,6.1,2.4,4.4,20.9,83,15.8,67.2,19,25.8,35,Grassland,1,1,Omnivore,Omnivore,Terrestrial,-24.95,10.85,-12.23,29.28,995800.31,Extant
Sarothrura elegans,Sarothrura_elegans,Rallidae,Gruiformes,15,6.6,2.2,3.8,25,85,16,70.7,18.5,36.8,46,Wetland,1,1,Carnivore,Invertivore,Terrestrial,-34.21,8.44,-8.05,26.66,7047799.89,Extant
Sarothrura insularis,Sarothrura_insularis,Rallidae,Gruiformes,13.1,5,2,3.7,21.6,70.2,10.4,59.9,14.7,45.2,26.8,Shrubland,1,1,Omnivore,Omnivore,Terrestrial,-25.2,-12.47,-19.31,47.8,289629.5,Extant
Sarothrura lugens,Sarothrura_lugens,Rallidae,Gruiformes,12.9,5.4,2.3,4.2,19.5,71.5,11,60.5,15.4,44.5,30.8,Shrubland,1,1,Omnivore,Omnivore,Terrestrial,-14.47,8.31,-5.7,24.65,189277.4,Extant
Sarothrura pulchra,Sarothrura_pulchra,Rallidae,Gruiformes,17,8.3,2.9,4.7,31.5,80.6,8.5,72.8,10.4,41,45.2,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,-11.34,13.43,0.32,16.56,4635423.45,Extant
Sarothrura rufa,Sarothrura_rufa,Rallidae,Gruiformes,13.6,5.3,2.4,4,24.3,77,10.9,66.4,14.1,45.4,37.7,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,-34.84,10.36,-9.18,24.48,4402555,Extant
Sarothrura watersi,Sarothrura_watersi,Rallidae,Gruiformes,15.2,7,2.2,3.2,23.5,69.5,15.8,53.7,22.7,42.8,26.5,Wetland,1,1,Omnivore,Aquatic predator,Terrestrial,-22.06,-14.52,-19.38,47.82,12305.12,Extant
Leptosomus discolor,Leptosomus_discolor,Leptosomidae,Leptosomiformes,46.8,20.1,10.2,13.3,29.6,248.4,67.4,179.5,27.3,191.7,255,Forest,1,1,Carnivore,Invertivore,Insessorial,-25.61,-11.36,-19.36,46.69,592877.2,Extant
Mesitornis unicolor,Mesitornis_unicolor,Mesitornithidae,Mesitornithiformes,21.5,9,3.1,4.6,39.6,114.5,8.6,105.9,7.5,103.8,148,Forest,1,1,Omnivore,Invertivore,Terrestrial,-25.03,-13.88,-18.07,48.72,37168.05,Extant
Mesitornis variegatus,Mesitornis_variegatus,Mesitornithidae,Mesitornithiformes,29.2,11.4,3.6,4.6,33.5,109,11.1,97.9,10.2,95,110,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-20.71,-12.67,-18.08,46.24,39538.16,Extant
Monias benschi,Monias_benschi,Mesitornithidae,Mesitornithiformes,37.3,20.8,4.3,5.5,35.7,124,12.7,106.5,10.7,132.9,137.9,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-23.46,-21.47,-22.42,43.67,12321.8,Extant
Corythaeola cristata,Corythaeola_cristata,Musophagidae,Musophagiformes,38.8,18.8,9.3,18.4,54.2,321.4,36.5,286.9,11.2,366.8,965,Forest,1,1,Herbivore,Frugivore,Insessorial,-11.06,11.59,1.55,16.15,3896093.97,Extant
Corythaixoides concolor,Corythaixoides_concolor,Musophagidae,Musophagiformes,25.7,12.7,8,13.3,39.5,215.4,39.8,177.2,18.3,241,258,Grassland,2,1,Herbivore,Frugivore,Insessorial,-29.07,-6.29,-17.21,27.41,3808237.76,Extant
Corythaixoides leucogaster,Corythaixoides_leucogaster,Musophagidae,Musophagiformes,27,12.1,8.7,11.3,42.3,220.3,35.5,185.4,16,264.2,216.2,Grassland,2,1,Herbivore,Omnivore,Insessorial,-8.83,14.91,3.09,39.51,2293621.91,Extant
Corythaixoides personatus,Corythaixoides_personatus,Musophagidae,Musophagiformes,25.9,12.3,7.9,13.1,39.6,207.6,32.7,175.1,15.7,243.9,250,Woodland,2,1,Herbivore,Frugivore,Insessorial,-10.67,10.12,-4.18,33.34,720237.77,Extant
Crinifer piscator,Crinifer_piscator,Musophagidae,Musophagiformes,29.6,18.4,12.2,15.8,41.9,224,44.3,180.2,19.7,227,370,Woodland,3,1,Herbivore,Frugivore,Insessorial,-5.49,16.9,9.71,2.27,3640485.51,Extant
Crinifer zonurus,Crinifer_zonurus,Musophagidae,Musophagiformes,30.4,17.7,10.8,14.7,44.3,247.6,46.6,200.9,18.8,250.4,527,Grassland,3,1,Herbivore,Frugivore,Insessorial,-4.26,16.37,7.02,32.84,1014236.61,Extant
Musophaga rossae,Musophaga_rossae,Musophagidae,Musophagiformes,35,12.2,7.4,12.9,44.9,224.7,33.4,191.3,14.8,232.7,361.4,Forest,2,1,Herbivore,Frugivore,Insessorial,-16.27,10.27,-6.06,24.94,3088906.06,Extant
Musophaga violacea,Musophaga_violacea,Musophagidae,Musophagiformes,34.5,14.1,10.2,15.2,42.2,210.2,36,174.2,17.1,194.8,360,Forest,2,1,Herbivore,Frugivore,Insessorial,4.74,14.61,10.04,-1.03,2077717.14,Extant
Ruwenzorornis johnstoni,Ruwenzorornis_johnstoni,Musophagidae,Musophagiformes,28,10.9,6.6,10.7,38.5,167,17.9,148.2,10.8,199.8,240,Forest,1,1,Herbivore,Frugivore,Insessorial,-4.01,0.69,-2.11,29.16,16706.27,Extant
Tauraco bannermani,Tauraco_bannermani,Musophagidae,Musophagiformes,25.9,13.1,9.2,13,38.3,160.8,13.8,147.5,8.6,170,224,Forest,1,1,Herbivore,Frugivore,Insessorial,5.13,6.54,6.06,10.44,1978.6,Extant
Tauraco corythaix,Tauraco_corythaix,Musophagidae,Musophagiformes,25.8,11.9,7,12.4,41.2,181.6,15.6,166.7,8.5,203.8,308,Forest,1,1,Herbivore,Frugivore,Insessorial,-34.21,-22.65,-30.04,28.12,124836.47,Extant
Tauraco erythrolophus,Tauraco_erythrolophus,Musophagidae,Musophagiformes,26,14.9,8.3,13.3,38.8,170,17.6,152.9,10.3,196.3,261.2,Forest,2,1,Herbivore,Frugivore,Insessorial,-14.79,-6.21,-9.28,15.06,189792.61,Extant
Tauraco fischeri,Tauraco_fischeri,Musophagidae,Musophagiformes,25.9,11.5,6.8,11,38.8,169.2,14.8,155.2,8.7,183.9,250,Forest,1,1,Herbivore,Frugivore,Insessorial,-6.48,1.89,-2.24,40.77,48655.56,Extant
Tauraco hartlaubi,Tauraco_hartlaubi,Musophagidae,Musophagiformes,24.6,11.3,8.3,11.4,38.3,169.4,12.9,156.2,7.7,181,224,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.15,4.06,-0.67,36.43,264805.15,Extant
Tauraco leucolophus,Tauraco_leucolophus,Musophagidae,Musophagiformes,25.5,14.4,9.3,14.3,35.8,173,20.3,152.4,11.8,174.8,219,Forest,2,1,Herbivore,Frugivore,Insessorial,-1.18,10.43,5.95,24.23,1433202.57,Extant
Tauraco leucotis,Tauraco_leucotis,Musophagidae,Musophagiformes,25.3,11.8,7.5,11.8,38.1,175.8,14,164,7.9,188.1,265,Forest,1,1,Herbivore,Frugivore,Insessorial,3.63,17.57,8.87,37.82,807016.24,Extant
Tauraco livingstonii,Tauraco_livingstonii,Musophagidae,Musophagiformes,25.5,11.9,7.1,11.3,38.8,183,16,167.2,8.8,202.5,249,Forest,1,1,Herbivore,Frugivore,Insessorial,-29.69,-2.9,-14.5,36.27,974104.7,Extant
Tauraco macrorhynchus,Tauraco_macrorhynchus,Musophagidae,Musophagiformes,25.8,12.4,7.1,12.2,38.2,170.2,14.8,153.4,8.8,182.6,243.7,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.92,9.3,3.31,5.23,1273570.69,Extant
Tauraco persa,Tauraco_persa,Musophagidae,Musophagiformes,25.8,12.3,6.9,11.9,38.8,177.8,19,158.7,10.7,177.9,306,Forest,1,1,Herbivore,Frugivore,Insessorial,-6.22,14.05,5.3,6.21,3260169.31,Extant
Tauraco porphyreolophus,Tauraco_porphyreolophus,Musophagidae,Musophagiformes,25.2,10.8,6.4,10.9,38.7,180.8,20.3,161.3,11.2,181.1,259,Woodland,2,1,Herbivore,Frugivore,Insessorial,-30.6,-0.14,-14.2,33.93,2166499.58,Extant
Tauraco ruspolii,Tauraco_ruspolii,Musophagidae,Musophagiformes,24.1,11.1,7.8,11,39.7,182,17.4,164.6,9.5,185.2,263,Woodland,2,1,Herbivore,Frugivore,Insessorial,4.61,5.84,5.21,39.29,11916.28,Extant
Tauraco schalowi,Tauraco_schalowi,Musophagidae,Musophagiformes,26.1,11.8,6.8,10.7,39.8,181,20,161.2,11,190.1,206.4,Forest,1,1,Herbivore,Frugivore,Insessorial,-19.18,-0.19,-11.64,25.53,1899419.96,Extant
Tauraco schuetti,Tauraco_schuetti,Musophagidae,Musophagiformes,22.1,10.6,6.4,10.5,39,166.4,13.5,152.8,8.2,184.2,235,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.86,5.96,-1.23,23.93,2085207.97,Extant
Opisthocomus hoazin,Opisthocomus_hoazin,Opisthocomidae,Opisthocomiformes,32.6,15.7,10.2,13.7,51.3,322,47.7,275.3,14.8,290.7,696,Riverine,2,1,Herbivore,Herbivore terrestrial,Insessorial,-18.23,10.49,-3.65,-61.99,7559878.74,Extant
Ardeotis arabs,Ardeotis_arabs,Otididae,Otidiformes,87.4,49.1,16.6,14.3,163.4,539.5,246,293.5,46,276.2,5943.5,Grassland,3,1,Omnivore,Omnivore,Terrestrial,3.94,21.92,13.89,19.68,2950367.62,Extant
Ardeotis australis,Ardeotis_australis,Otididae,Otidiformes,79.3,42,19.4,18.9,175.5,592.5,260.5,332,44,304,4182.4,Grassland,3,1,Omnivore,Omnivore,Terrestrial,-38.04,-6.56,-24.05,133.41,6717248.95,Extant
Ardeotis kori,Ardeotis_kori,Otididae,Otidiformes,112.3,62.6,21,21.1,210.2,709.8,274.2,411,40.1,353.3,7994.2,Grassland,3,1,Omnivore,Omnivore,Terrestrial,-32.58,10.77,-16.22,26.32,3565934.25,Extant
Ardeotis nigriceps,Ardeotis_nigriceps,Otididae,Otidiformes,88.7,44.4,18.2,17.9,183.2,618.5,258.2,351.4,42.4,256.8,7235.3,Grassland,3,1,Omnivore,Omnivore,Terrestrial,12.67,29.26,22.98,74.53,451108.33,Extant
Chlamydotis undulata,Chlamydotis_undulata,Otididae,Otidiformes,47.9,24.3,11.2,9.2,91.1,370.2,152.2,213.5,41.5,211.2,1501.3,Desert,3,1,Herbivore,Omnivore,Terrestrial,15.45,50.76,35.31,45.66,7754543.92,Extant
Eupodotis afra,Eupodotis_afra,Otididae,Otidiformes,35.6,18.9,8.7,8.4,88.5,290.8,107.7,178.3,37.7,126.6,690,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,-34.84,-29.96,-32.86,20.86,173167.3,Extant
Eupodotis afraoides,Eupodotis_afraoides,Otididae,Otidiformes,34.9,18,9,8.2,88,282.8,104.8,177.5,37.1,127.4,745,Grassland,3,1,Omnivore,Invertivore,Terrestrial,-33.54,-17.46,-25.21,21.89,1934353.37,Extant
Eupodotis caerulescens,Eupodotis_caerulescens,Otididae,Otidiformes,32.1,16.8,8.9,10,88.2,322.8,117,205.8,36.2,146,1366,Grassland,3,1,Omnivore,Omnivore,Terrestrial,-32.62,-24.56,-29.04,27.41,264843.99,Extant
Eupodotis gindiana,Eupodotis_gindiana,Otididae,Otidiformes,34.9,18.9,8.9,8.9,76.9,253,92.1,158.1,37,135.6,782.3,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,-8.54,11.99,3.04,40.95,1777669.92,Extant
Eupodotis hartlaubii,Eupodotis_hartlaubii,Otididae,Otidiformes,48.4,27.3,10.8,9.3,126,328.4,126.2,198.1,38.9,150.4,1190,Grassland,3,1,Omnivore,Omnivore,Terrestrial,-5.3,15.22,4.48,36.69,606100.64,Extant
Eupodotis humilis,Eupodotis_humilis,Otididae,Otidiformes,31.8,17.6,7.8,7,61.7,232.4,97,143.5,40.4,108,698,Grassland,3,1,Omnivore,Omnivore,Terrestrial,4.3,11.58,8.1,46.24,447301.03,Extant
Eupodotis melanogaster,Eupodotis_melanogaster,Otididae,Otidiformes,46.6,25.7,10.1,8.7,133.8,332,120.9,203.9,37.2,170.4,1151.5,Grassland,3,1,Carnivore,Invertivore,Terrestrial,-33.17,17,-0.73,20.06,10594022.75,Extant
Eupodotis rueppellii,Eupodotis_rueppellii,Otididae,Otidiformes,38.8,20.1,8.7,8.4,77.4,315.6,125.5,187.5,40.1,136,1107,Desert,3,1,Omnivore,Omnivore,Terrestrial,-26.29,-12.44,-20.52,14.86,280978.34,Extant
Eupodotis ruficrista,Eupodotis_ruficrista,Otididae,Otidiformes,37.4,22,8.8,8.3,84.5,261.2,96.5,161.2,37.5,143,712.1,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,-28.6,-11.59,-20.84,23.24,2013859.39,Extant
Eupodotis savilei,Eupodotis_savilei,Otididae,Otidiformes,38.2,20.4,9,8.3,73.8,244.5,82.4,162.1,33.7,122,712.1,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,3.49,16.94,13.54,8.03,1057430.55,Extant
Eupodotis senegalensis,Eupodotis_senegalensis,Otididae,Otidiformes,34.1,20.2,9.5,8.7,83.8,270.6,109.6,160.8,40.6,116.5,585,Grassland,3,1,Omnivore,Omnivore,Terrestrial,-34.21,17.54,2.55,22.03,4886826.68,Extant
Eupodotis vigorsii,Eupodotis_vigorsii,Otididae,Otidiformes,39.7,20.5,9.3,9.6,80.4,342,123.4,218.6,36.2,146,1700,Shrubland,3,1,Herbivore,Omnivore,Terrestrial,-34.84,-24.2,-29.73,20.69,691336.88,Extant
Houbaropsis bengalensis,Houbaropsis_bengalensis,Otididae,Otidiformes,48,24.9,11.2,10,141.6,346.8,127.7,218.1,37,153.6,2012.5,Grassland,3,1,Omnivore,Omnivore,Terrestrial,12.36,28.77,25.33,90.69,76553.14,Extant
Neotis denhami,Neotis_denhami,Otididae,Otidiformes,92.4,46.2,17.6,15.1,153.3,558.8,245.8,313,43.9,316.2,3970.2,Grassland,3,1,Carnivore,Omnivore,Terrestrial,-34.84,17.08,1.84,18.01,7660206.48,Extant
Neotis heuglinii,Neotis_heuglinii,Otididae,Otidiformes,72.9,37.5,14.1,11.9,144.1,458.5,188.5,270,41,204.5,4098.8,Desert,3,1,Omnivore,Omnivore,Terrestrial,-2.41,15.07,6.22,43.59,989206.1,Extant
Neotis ludwigii,Neotis_ludwigii,Otididae,Otidiformes,63.5,30.9,13.6,11.9,130.2,508.5,178.5,330,35.8,253.5,3260.9,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,-34.44,-15.52,-27.03,19.48,1006199.57,Extant
Neotis nuba,Neotis_nuba,Otididae,Otidiformes,55.1,31.1,12.2,12.3,118.9,422,187.3,234.7,44.9,264.2,5440,Desert,3,1,Omnivore,Omnivore,Terrestrial,12.63,25.55,17.41,7.89,2385968.92,Extant
Otis tarda,Otis_tarda,Otididae,Otidiformes,62.3,32,15.6,18.5,137.8,550.8,228.5,307.8,42.7,218.3,6759.9,Grassland,3,2,Omnivore,Omnivore,Terrestrial,33.26,59.49,48.74,75.98,4521984.02,Extant
Sypheotides indicus,Sypheotides_indicus,Otididae,Otidiformes,44.8,24.7,9,8,93.8,200,73.8,129.9,36.2,92.4,614.3,Grassland,3,1,Herbivore,Omnivore,Terrestrial,16.48,31.3,24.07,76.36,1401041.69,Extant
Tetrax tetrax,Tetrax_tetrax,Otididae,Otidiformes,30,14.4,7.8,8.6,63.7,239.3,98,142.1,40.8,100.3,833.5,Grassland,3,2,Omnivore,Omnivore,Terrestrial,32.86,57.55,48.84,54.04,5061737.32,Extant
Acanthisitta chloris,Acanthisitta_chloris,Acanthisittidae,Passeriformes,12.1,6.3,2.4,2.2,18,46,6.2,38.1,13.9,23.5,6.9,Forest,1,1,Carnivore,Invertivore,Insessorial,-47.28,-35.38,-42.25,172.19,152503.84,Extant
Xenicus gilviventris,Xenicus_gilviventris,Acanthisittidae,Passeriformes,13.8,7.7,3.9,3.3,23.2,49,8.1,40,16.8,13.3,17.6,Shrubland,2,1,Carnivore,Invertivore,Generalist,-46.07,-41.01,-43.99,169.31,11157.46,Extant
Acanthiza apicalis,Acanthiza_apicalis,Acanthizidae,Passeriformes,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,7.6,Woodland,2,1,Carnivore,Invertivore,Insessorial,-36,-16.78,-27.63,131.95,4124270.8,Extant
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,Acanthizidae,Passeriformes,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,9.3,Woodland,2,1,Carnivore,Invertivore,Terrestrial,-43.64,-18.56,-28.8,136.41,4590956.34,Extant
