Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Accipiter henstii,Accipiter_henstii,Accipitridae,Accipitriformes,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,Forest,1,1,Carnivore,Vertivore,Insessorial,-25.2,-11.95,-18.72,46.85,434639.7,Extant
Accipiter imitator,Accipiter_imitator,Accipitridae,Accipitriformes,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,Forest,1,1,Carnivore,Vertivore,Insessorial,-8.58,-5.41,-6.76,156.47,10050.21,Extant
Accipiter luteoschistaceus,Accipiter_luteoschistaceus,Accipitridae,Accipitriformes,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,Forest,1,1,Carnivore,Vertivore,Insessorial,-6.31,-4.19,-5.5,150.45,28814.74,Extant
Accipiter madagascariensis,Accipiter_madagascariensis,Accipitridae,Accipitriformes,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,Forest,1,1,Carnivore,Vertivore,Insessorial,-25.61,-11.95,-19.43,46.69,476517.51,Extant
Accipiter melanochlamys,Accipiter_melanochlamys,Accipitridae,Accipitriformes,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,Forest,1,1,Carnivore,Vertivore,Generalist,-10.07,-0.95,-5.31,141.87,115449.94,Extant
Accipiter melanoleucus,Accipiter_melanoleucus,Accipitridae,Accipitriformes,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,Forest,1,1,Carnivore,Vertivore,Generalist,-34.84,18.84,-5.51,25.85,9067092.6,Extant
Accipiter meyerianus,Accipiter_meyerianus,Accipitridae,Accipitriformes,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,763.5,Forest,1,1,Carnivore,Vertivore,Generalist,-10.12,2.29,-4.7,141.36,269144.41,Extant
Accipiter minullus,Accipiter_minullus,Accipitridae,Accipitriformes,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.4,Forest,1,1,Carnivore,Vertivore,Generalist,-34.84,17.8,-9.71,29.57,6794381.58,Extant
Accipiter nanus,Accipiter_nanus,Accipitridae,Accipitriformes,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.7,1.76,-1.08,121.34,110477,Extant
Accipiter nisus,Accipiter_nisus,Accipitridae,Accipitriformes,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,Forest,1,2,Carnivore,Vertivore,Insessorial,26.9,70.53,54.67,77.29,23601609.31,Extant
Accipiter novaehollandiae,Accipiter_novaehollandiae,Accipitridae,Accipitriformes,29.2,17.9,10.6,15.3,61.8,235.5,69.8,165,30,164.9,326.1,Forest,1,1,Carnivore,Vertivore,Insessorial,-43.64,2.65,-19.05,142.44,2636167.53,Extant
Accipiter ovampensis,Accipiter_ovampensis,Accipitridae,Accipitriformes,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,Shrubland,2,1,Carnivore,Vertivore,Aerial,-27.22,13.92,-8.53,23.37,7295779.86,Extant
Accipiter poliocephalus,Accipiter_poliocephalus,Accipitridae,Accipitriformes,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,Forest,1,1,Carnivore,Vertivore,Insessorial,-11.66,0.04,-5.32,140.74,671500.51,Extant
Accipiter poliogaster,Accipiter_poliogaster,Accipitridae,Accipitriformes,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,Forest,1,2,Carnivore,Vertivore,Insessorial,-30.38,6.82,-7.81,-60.09,7203530.62,Extant
