Phylo,Family,Order,Scientific_name,Mass
Buteo_auguralis,Accipitridae,Accipitriformes,Buteo auguralis,663.9
Buteo_brachypterus,Accipitridae,Accipitriformes,Buteo brachypterus,511
Buteo_brachyurus,Accipitridae,Accipitriformes,Buteo brachyurus,496
Buteo_buteo,Accipitridae,Accipitriformes,Buteo buteo,759.1
Buteo_galapagoensis,Accipitridae,Accipitriformes,Buteo galapagoensis,1137.4
Buteo_hemilasius,Accipitridae,Accipitriformes,Buteo hemilasius,1358.9
Buteo_jamaicensis,Accipitridae,Accipitriformes,Buteo jamaicensis,1101.2
Buteo_lagopus,Accipitridae,Accipitriformes,Buteo lagopus,949.8
Buteo_leucorrhous,Accipitridae,Accipitriformes,Buteo leucorrhous,290
Buteo_lineatus,Accipitridae,Accipitriformes,Buteo lineatus,603.7
Buteo_magnirostris,Accipitridae,Accipitriformes,Buteo magnirostris,269
Buteo_nitidus,Accipitridae,Accipitriformes,Buteo nitidus,519
Buteo_oreophilus,Accipitridae,Accipitriformes,Buteo oreophilus,700
Buteo_platypterus,Accipitridae,Accipitriformes,Buteo platypterus,453.7
Buteo_polyosoma,Accipitridae,Accipitriformes,Buteo polyosoma,782.6
Buteo_regalis,Accipitridae,Accipitriformes,Buteo regalis,1437.2
Buteo_ridgwayi,Accipitridae,Accipitriformes,Buteo ridgwayi,315
Buteo_rufinus,Accipitridae,Accipitriformes,Buteo rufinus,1166.2
Buteo_rufofuscus,Accipitridae,Accipitriformes,Buteo rufofuscus,1530
Buteo_solitarius,Accipitridae,Accipitriformes,Buteo solitarius,500.9
Buteo_swainsoni,Accipitridae,Accipitriformes,Buteo swainsoni,946.6
Buteo_ventralis,Accipitridae,Accipitriformes,Buteo ventralis,1190.5
Buteogallus_aequinoctialis,Accipitridae,Accipitriformes,Buteogallus aequinoctialis,657.6
Buteogallus_anthracinus,Accipitridae,Accipitriformes,Buteogallus anthracinus,975.1
Buteogallus_gundlachii,Accipitridae,Accipitriformes,Buteogallus gundlachii,975.1
Buteogallus_meridionalis,Accipitridae,Accipitriformes,Buteogallus meridionalis,808
Buteogallus_urubitinga,Accipitridae,Accipitriformes,Buteogallus urubitinga,1152.9
Chelictinia_riocourii,Accipitridae,Accipitriformes,Chelictinia riocourii,110
Chondrohierax_uncinatus,Accipitridae,Accipitriformes,Chondrohierax uncinatus,286.1
Chondrohierax_wilsonii,Accipitridae,Accipitriformes,Chondrohierax wilsonii,286.1
Circaetus_beaudouini,Accipitridae,Accipitriformes,Circaetus beaudouini,1500
Circaetus_cinerascens,Accipitridae,Accipitriformes,Circaetus cinerascens,1126
Circaetus_cinereus,Accipitridae,Accipitriformes,Circaetus cinereus,2048
Circaetus_fasciolatus,Accipitridae,Accipitriformes,Circaetus fasciolatus,1013.6
Circaetus_gallicus,Accipitridae,Accipitriformes,Circaetus gallicus,1699.1
