Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Anas_querquedula,Anatidae,Anseriformes,Anas querquedula,39.2,30,13.8,12.5,26,188.2,105.6,82.2,56.1,64.2,325.6,Wetland,3,3,Omnivore,Herbivore aquatic,Aquatic,36.62,68.36,53.56,74.07,16861397.11,Extant
Anas_rhynchotis,Anatidae,Anseriformes,Anas rhynchotis,63.8,45.4,19.4,17.4,30.8,224.2,123,101.2,54.8,71,639,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,-46.68,-14.05,-29.63,139.27,4454068.38,Extant
Anas_rubripes,Anatidae,Anseriformes,Anas rubripes,59.4,42,20.4,17,41.9,267.2,136.5,129.2,51.4,73.5,1241,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,34.59,59.56,49.93,-79.67,4118764.61,Extant
Anas_sibilatrix,Anatidae,Anseriformes,Anas sibilatrix,37.6,24,15.2,12.2,36.3,245,119.8,123,49.5,83.8,923.2,Wetland,3,2,Herbivore,Omnivore,Terrestrial,-55.98,-30.33,-40.77,-67.67,2186262.24,Extant
Anas_smithii,Anatidae,Anseriformes,Anas smithii,63.6,43.3,18.9,16.5,34.6,229.2,115.8,113.5,50.5,72.5,591.5,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,-34.84,-13.74,-24.84,22.46,2430691.95,Extant
Anas_sparsa,Anatidae,Anseriformes,Anas sparsa,48.4,33.1,20.1,13.8,38.3,247.4,107.5,136.8,44,112.4,981.5,Wetland,3,1,Omnivore,Omnivore,Aquatic,-34.84,16.17,-9.75,28.63,9213622.59,Extant
Anas_strepera,Anatidae,Anseriformes,Anas strepera,48.7,34.7,16.5,13.7,36.5,251.3,137,113,54.8,83,915.6,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,27.64,67.99,49.62,29.99,18552362.65,Extant
Anas_superciliosa,Anatidae,Anseriformes,Anas superciliosa,57.5,40.4,20,15.8,39.2,251.2,118.8,132.8,47.1,78,882.8,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-54.78,8.99,-22.89,135.83,8845309.64,Extant
Anas_undulata,Anatidae,Anseriformes,Anas undulata,53.3,36.6,18.7,13.9,37.1,240.6,103.2,128.8,44.5,96,1008,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-34.84,16.5,-10.74,28.64,8476793.26,Extant
Anas_versicolor,Anatidae,Anseriformes,Anas versicolor,41.2,31.4,15.4,14.3,28.3,185,91.8,92.2,49.9,68.6,595.2,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-55.98,-20.73,-36.9,-64.26,3071768.07,Extant
