"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","Habitat_Category","IsMigrate","cMass"
"204","Phylloscopus_laurae","Sylviidae","Passeriformes","Phylloscopus laurae",11.3,6,2.8,3,18.7,57.8,9.2,48.5,16,43.8,8.5,"Forest","2","1","Carnivore","Invertivore","Insessorial",-13.89,-8.05,-10.74,27.83,364414.58,"Extant","Forested_Vegetated",1,-0.330748025390143
"205","Phylloscopus_maculipennis","Sylviidae","Passeriformes","Phylloscopus maculipennis",8.9,4.2,2.6,2.1,18.1,46.8,7.8,38.4,17,31.8,5.1,"Forest","1","1","Carnivore","Invertivore","Insessorial",11.97,35.19,25.44,97.45,972285.74,"Extant","Forested_Vegetated",1,-0.841573649156134
"206","Phylloscopus_magnirostris","Sylviidae","Passeriformes","Phylloscopus magnirostris",13.6,7.2,3.1,2.9,19.2,67.2,13.8,54,20.4,52.2,11.6,"Forest","1","3","Carnivore","Invertivore","Insessorial",25.36,37.21,31.01,92.22,627409.71,"Extant","Forested_Vegetated",0,-0.0198090907740949
"207","Phylloscopus_makirensis","Sylviidae","Passeriformes","Phylloscopus makirensis",12.1,6.9,2.9,2.7,19.4,48.9,5.4,43.5,11,38.7,9.2,"Forest","1","1","Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant","Forested_Vegetated",1,-0.251610704831419
"208","Phylloscopus_neglectus","Sylviidae","Passeriformes","Phylloscopus neglectus",9.2,4.6,2,2.1,16.7,48.6,7.5,42,15.2,39.3,5.3,"Shrubland","2","3","Carnivore","Invertivore","Insessorial",26.73,39.51,33.68,58.18,809025.01,"Extant","Arid_Open",0,-0.803107368328338
"209","Phylloscopus_nitidus","Sylviidae","Passeriformes","Phylloscopus nitidus",12.4,6.6,2.7,2.7,19.1,62.5,14.4,47.2,23.4,50.4,7.8,"Forest","1","3","Carnivore","Invertivore","Insessorial",33.64,44.46,39.47,47.95,468375.06,"Extant","Forested_Vegetated",0,-0.416690455190868
"210","Phylloscopus_occipitalis","Sylviidae","Passeriformes","Phylloscopus occipitalis",12.9,7.7,3.4,2.8,16.7,63.4,12.3,50.7,19.4,49.6,9,"Forest","1","3","Carnivore","Invertivore","Insessorial",30.22,39.08,35.4,71.65,270137.8,"Extant","Forested_Vegetated",0,-0.273589611550194
"211","Phylloscopus_ogilviegranti","Sylviidae","Passeriformes","Phylloscopus ogilviegranti",10.5,5.7,2.7,2.6,17,52,8.1,43.6,15.7,41.4,6.4,"Forest","2","2","Carnivore","Invertivore","Insessorial",10.96,34.55,24.41,108.3,887609.37,"Extant","Forested_Vegetated",0,-0.614516198520788
"212","Phylloscopus_olivaceus","Sylviidae","Passeriformes","Phylloscopus olivaceus",13.3,7.5,3.1,3.2,18.4,58.9,7.6,51.2,12.9,52.8,9.7,"Forest","1","1","Carnivore","Invertivore","Insessorial",4.84,12.59,8.51,124.59,133609.09,"Extant","Forested_Vegetated",1,-0.198688303377077
"213","Phylloscopus_orientalis","Sylviidae","Passeriformes","Phylloscopus orientalis",12.1,6.2,2.4,2.4,17.6,66.7,15.7,51.7,23.3,51.4,8.5,"Woodland","2","3","Carnivore","Invertivore","Insessorial",32.79,45.52,40.6,25.6,323586.25,"Extant","Forested_Vegetated",0,-0.330748025390143
"214","Phylloscopus_poliocephalus","Sylviidae","Passeriformes","Phylloscopus poliocephalus",12.2,6.6,2.6,2.8,19.9,56.4,7.3,48.7,13,43,10.8,"Forest","1","1","Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant","Forested_Vegetated",1,-0.0912680547562399
"215","Phylloscopus_presbytes","Sylviidae","Passeriformes","Phylloscopus presbytes",11.8,7,2.3,2.6,19.8,56.5,6.8,49.8,12.1,45,9.5,"Forest","2","1","Carnivore","Invertivore","Insessorial",-10.94,-8.14,-9.2,124.33,36249.36,"Extant","Forested_Vegetated",1,-0.219522390279919
"216","Phylloscopus_proregulus","Sylviidae","Passeriformes","Phylloscopus proregulus",9.7,4.7,2.5,2.2,16.4,51.2,9.7,41.8,18.9,38.2,6,"Forest","1","3","Carnivore","Invertivore","Insessorial",42.67,61.01,53.21,117.16,5259814.86,"Extant","Forested_Vegetated",0,-0.679054719658359
"217","Phylloscopus_pulcher","Sylviidae","Passeriformes","Phylloscopus pulcher",10.7,5.5,2.3,2.1,18.5,58.8,8.2,50.8,14.2,40,6.8,"Forest","1","1","Carnivore","Invertivore","Insessorial",21.22,38.67,29,97.77,1028240.36,"Extant","Forested_Vegetated",1,-0.553891576704353
"218","Phylloscopus_reguloides","Sylviidae","Passeriformes","Phylloscopus reguloides",12.1,6.5,2.9,2.6,18,56.6,9,47.1,16.1,50.1,7.6,"Forest","1","3","Carnivore","Invertivore","Insessorial",11.31,32.53,24.78,99.57,1405045.54,"Extant","Forested_Vegetated",0,-0.442665941594129
"219","Phylloscopus_ricketti","Sylviidae","Passeriformes","Phylloscopus ricketti",12,6.8,2.7,2.7,16.3,55.7,10.7,45.4,19,40,6.3,"Forest","2","1","Carnivore","Invertivore","Insessorial",22.19,35.76,28.79,109.81,1630574.81,"Extant","Forested_Vegetated",1,-0.630264555488927
"220","Phylloscopus_ruficapilla","Sylviidae","Passeriformes","Phylloscopus ruficapilla",11.4,6,2.8,2.3,19.3,52.4,7.4,44.9,14.2,41.2,7.7,"Forest","1","1","Carnivore","Invertivore","Insessorial",-34.84,-3.05,-21.82,31.32,423407.96,"Extant","Forested_Vegetated",1,-0.429593860026776
"221","Phylloscopus_sarasinorum","Sylviidae","Passeriformes","Phylloscopus sarasinorum",12.1,6.2,2.5,2.8,20.6,56.4,5.7,50,10.2,41,10,"Forest","1","1","Carnivore","Invertivore","Insessorial",-5.47,1.42,-1.83,120.85,69176.02,"Extant","Forested_Vegetated",1,-0.168229095892368
"222","Phylloscopus_schwarzi","Sylviidae","Passeriformes","Phylloscopus schwarzi",12.2,6.4,2.9,3.1,21.3,63.2,11.2,50.5,18.1,50.2,11.4,"Shrubland","2","3","Carnivore","Invertivore","Insessorial",39.04,58.4,51.58,113,2917225.84,"Extant","Arid_Open",0,-0.0372008334859641
"223","Phylloscopus_sibilatrix","Sylviidae","Passeriformes","Phylloscopus sibilatrix",13.2,6.7,2.8,2.8,18,75.8,23.3,52.3,30.9,50.7,9.2,"Forest","1","3","Carnivore","Invertivore","Insessorial",38.84,69.08,54.15,28.43,6359810.96,"Extant","Forested_Vegetated",0,-0.251610704831419
"224","Phylloscopus_sindianus","Sylviidae","Passeriformes","Phylloscopus sindianus",10.9,5.5,2.2,2.1,17.9,53.4,8.3,43.7,15.9,44.4,7.5,"Forest","3","3","Carnivore","Invertivore","Insessorial",32.52,44.15,38.4,68.74,848350,"Extant","Forested_Vegetated",0,-0.455911168344149
"225","Phylloscopus_subaffinis","Sylviidae","Passeriformes","Phylloscopus subaffinis",11.4,6,2.3,2.2,18.6,50.9,6.9,44.2,13.6,46.3,6.2,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",21.12,38.31,30.17,107.3,2492313.66,"Extant","Arid_Open",1,-0.646264896835368
"226","Phylloscopus_subviridis","Sylviidae","Passeriformes","Phylloscopus subviridis",10.5,5.6,2.4,2,17,54.1,8.4,44.5,15.9,42.8,5.5,"Forest","2","1","Carnivore","Invertivore","Insessorial",30.51,36.59,33.9,72.4,106723.57,"Extant","Forested_Vegetated",1,-0.766066096647989
"227","Phylloscopus_tenellipes","Sylviidae","Passeriformes","Phylloscopus tenellipes",12.2,6.6,2.7,2.9,17.5,59.9,13.8,46.1,23,49.5,11.8,"Forest","2","3","Carnivore","Invertivore","Insessorial",37.6,54.32,46.04,131.91,1086226.67,"Extant","Forested_Vegetated",0,-0.00271465741479471
"228","Phylloscopus_trivirgatus","Sylviidae","Passeriformes","Phylloscopus trivirgatus",12.2,6.7,2.9,2.8,19.8,56.5,8.8,47.8,15.5,41.3,9,"Forest","1","1","Carnivore","Invertivore","Insessorial",-9.11,18.65,2.53,110.74,539476.75,"Extant","Forested_Vegetated",1,-0.273589611550194
"229","Phylloscopus_trochiloides","Sylviidae","Passeriformes","Phylloscopus trochiloides",11.6,6.4,3,2.6,18.1,60.6,12.1,48.4,20,48.2,8.1,"Forest","1","3","Carnivore","Invertivore","Insessorial",26.83,68.55,50.87,83.37,13103240.81,"Extant","Forested_Vegetated",0,-0.378950127208021
"230","Phylloscopus_trochilus","Sylviidae","Passeriformes","Phylloscopus trochilus",12.8,6.6,2.6,2.6,19.3,65.9,17.1,48.8,25.9,52.3,8.7,"Forest","1","3","Carnivore","Invertivore","Insessorial",41.17,72.32,60.53,74.92,15839222.41,"Extant","Forested_Vegetated",0,-0.307491163225876
"231","Phylloscopus_tytleri","Sylviidae","Passeriformes","Phylloscopus tytleri",12.4,6.6,2.3,2.2,17.5,58.1,10.4,47,18.1,42.2,7.2,"Forest","2","3","Carnivore","Invertivore","Insessorial",31.6,36.54,34.53,73.68,213284.08,"Extant","Forested_Vegetated",0,-0.496733162864404
"232","Phylloscopus_umbrovirens","Sylviidae","Passeriformes","Phylloscopus umbrovirens",12.4,5.6,2.5,2.4,20,56.2,6.4,50.3,11.3,45,8.6,"Forest","2","1","Carnivore","Invertivore","Insessorial",-7.38,22.18,6.66,38.05,611974.74,"Extant","Forested_Vegetated",1,-0.319051985626952
"233","Phylloscopus_xanthoschistos","Sylviidae","Passeriformes","Phylloscopus xanthoschistos",10.9,5.8,2.6,2.6,17.4,52.9,8.6,44.6,16,43.4,6.9,"Forest","1","2","Carnivore","Invertivore","Insessorial",22.59,34.85,28.64,86.81,269573.71,"Extant","Forested_Vegetated",0,-0.5392927772832
"234","Phylloscopus_yunnanensis","Sylviidae","Passeriformes","Phylloscopus yunnanensis",9.8,5.3,2.3,2.1,15.4,52.2,9.8,41.8,19,37,6,"Shrubland","2","2","Carnivore","Invertivore","Insessorial",30.2,41.28,36.33,108.92,338812.66,"Extant","Arid_Open",0,-0.679054719658359
"235","Poliolais_lopezi","Sylviidae","Passeriformes","Poliolais lopezi",15,8.1,2.7,2.9,21.4,51.9,4.4,46.5,8.6,29.4,12,"Forest","1","1","Carnivore","Invertivore","Insessorial",3.21,6.89,5.59,10,37233.22,"Extant","Forested_Vegetated",1,0.0140924609015864
"236","Randia_pseudozosterops","Sylviidae","Passeriformes","Randia pseudozosterops",14.1,8.1,2.2,2.5,15.9,58,7.3,50.7,12.6,45.5,11,"Woodland","1","1","Carnivore","Invertivore","Insessorial",-25.14,-13.46,-18.79,48.45,149492.81,"Extant","Forested_Vegetated",1,-0.0729189160880432
"237","Schoenicola_brevirostris","Sylviidae","Passeriformes","Schoenicola brevirostris",13.1,6.8,2.8,3.6,18.6,59.1,8.9,50.2,15.1,78,15.7,"Grassland","3","1","Carnivore","Invertivore","Terrestrial",-32.41,10.58,-7.75,24.49,2804794.87,"Extant","Arid_Open",1,0.282846523467848
"238","Schoenicola_platyurus","Sylviidae","Passeriformes","Schoenicola platyurus",13.6,7.2,3.1,3.9,21.6,64.3,11,53.4,17,70.4,20,"Shrubland","3","1","Carnivore","Invertivore","Terrestrial",8.27,21.18,14.99,75.27,39801.45,"Extant","Arid_Open",1,0.524918084667577
"239","Seicercus_affinis","Sylviidae","Passeriformes","Seicercus affinis",15.3,6.8,2.9,2.7,16.3,57.3,10.4,47.2,18.1,46.2,6.9,"Forest","1","2","Carnivore","Invertivore","Insessorial",11.24,31.54,26.29,99.39,446873.33,"Extant","Forested_Vegetated",0,-0.5392927772832
"240","Seicercus_burkii","Sylviidae","Passeriformes","Seicercus burkii",16.9,6.5,3.1,2.6,16,52.2,7.1,45.2,13.5,41,7.3,"Forest","1","3","Carnivore","Invertivore","Insessorial",26.42,32.3,28.62,83.9,271138.68,"Extant","Forested_Vegetated",0,-0.482939840732068
"241","Seicercus_castaniceps","Sylviidae","Passeriformes","Seicercus castaniceps",9.6,4.9,2.5,2.4,15.4,48.8,9.5,39.3,19.3,37.2,5.3,"Forest","1","2","Carnivore","Invertivore","Insessorial",-3.74,31.44,23.28,102.4,2881104.86,"Extant","Forested_Vegetated",0,-0.803107368328338
"242","Seicercus_grammiceps","Sylviidae","Passeriformes","Seicercus grammiceps",9.9,5.2,2.6,2.3,16.7,50.3,7,43.9,13.8,43.5,5,"Forest","1","1","Carnivore","Invertivore","Insessorial",-8.44,5.09,-2.25,103.64,40371.48,"Extant","Forested_Vegetated",1,-0.861376276452314
"243","Seicercus_montis","Sylviidae","Passeriformes","Seicercus montis",9.6,5.7,2.8,2.7,16,49.4,8.7,39.3,18.1,38.2,6.4,"Forest","1","1","Carnivore","Invertivore","Insessorial",-10.04,11.43,1.31,108.88,369636.97,"Extant","Forested_Vegetated",1,-0.614516198520788
"244","Seicercus_omeiensis","Sylviidae","Passeriformes","Seicercus omeiensis",12.1,6.1,2.5,2.4,17.2,56.7,9.9,46.8,17.5,48.3,7.3,"Forest","1","3","Carnivore","Invertivore","Insessorial",25.31,34.53,30.99,104.49,235578.65,"Extant","Forested_Vegetated",0,-0.482939840732068
"245","Seicercus_poliogenys","Sylviidae","Passeriformes","Seicercus poliogenys",9.9,6.1,2.9,2.5,17.2,50,9.7,39.8,20,45,6.3,"Forest","1","2","Carnivore","Invertivore","Insessorial",11.21,29.96,22.59,99.31,1049263.64,"Extant","Forested_Vegetated",0,-0.630264555488927
"246","Seicercus_soror","Sylviidae","Passeriformes","Seicercus soror",12.4,6.6,3.3,2.9,16.5,55.6,10.2,45.5,18.2,46.5,7.3,"Forest","1","3","Carnivore","Invertivore","Insessorial",25.04,35.21,30.49,108.14,443899.08,"Extant","Forested_Vegetated",0,-0.482939840732068
