"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"21","Urotriorchis_macrourus","Accipitridae","Accipitriformes","Urotriorchis macrourus",35.4,19.6,13.3,16.5,78.9,286.5,68.2,218.2,23.8,373.8,492,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-8.84,8.7,1.17,15.06,3073602.25,"Extant"
"22","Hieraaetus_morphnoides","Accipitridae","Accipitriformes","Hieraaetus morphnoides",35.7,20.6,10.9,18.1,54.5,364.8,161.2,198,44.9,205.2,775.1,"Forest",2,"sedentary","Carnivore","Vertivore","Generalist",-39.14,-10.7,-25.34,134.65,7265023.22,"Extant"
"23","Leucopternis_occidentalis","Accipitridae","Accipitriformes","Leucopternis occidentalis",36,22.9,12.4,18.5,76.2,346.2,97.8,248.5,28.2,192,660,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-4.38,0.91,-3.58,-79.86,6586.81,"Extant"
"24","Eutriorchis_astur","Accipitridae","Accipitriformes","Eutriorchis astur",40.3,24.8,11.6,19.5,84,318.5,74.2,244.3,23.3,287.5,700,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-21.4,-13.61,-16.44,49.12,34460.57,"Extant"
"25","Aquila_gurneyi","Accipitridae","Accipitriformes","Aquila gurneyi",55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,"Forest",1,"sedentary","Carnivore","Vertivore","Aerial",-10.73,2.65,-5.05,140.46,601810.35,"Extant"
"26","Ictinia_plumbea","Accipitridae","Accipitriformes","Ictinia plumbea",23.9,15.1,10.8,13.4,33.2,285.6,117.8,164.9,41.8,134.8,249.9,"Forest",2,"sedentary","Carnivore","Invertivore","Generalist",-29.27,23.69,-7.01,-60.39,12719722.18,"Extant"
"27","Spilornis_elgini","Accipitridae","Accipitriformes","Spilornis elgini",37.5,26.7,12.8,18.4,76.1,365.4,106.8,255.8,29.4,215.6,895,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",10.51,13.68,12.47,92.81,4980.85,"Extant"
"28","Spilornis_cheela","Accipitridae","Accipitriformes","Spilornis cheela",45.6,30.1,14.4,20.8,82.2,373.7,112.6,261.1,30.1,237.4,597.7,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-8.85,34.11,16.74,98.68,6837152.16,"Extant"
"29","Erythrotriorchis_buergersi","Accipitridae","Accipitriformes","Erythrotriorchis buergersi",33.7,20.3,12.8,18.2,75.2,310.7,105.5,205.2,34,238.7,575,"Forest",1,"sedentary","Carnivore","Vertivore","Generalist",-10.48,-2.39,-5.51,142.42,152406.32,"Extant"
"30","Accipiter_rhodogaster","Accipitridae","Accipitriformes","Accipiter rhodogaster",20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-5.7,1.76,-1.93,121.39,146036.85,"Extant"
